Fundo,Notação,Documento,Abordagem,Local de produção,Data de produção,Técnica,Suporte,Formato,Cromia,Idioma,N. Itens,N. exemplares,Extensão,Responsável (1),Tipo de responsabilidade (1),Responsável (2),Tipo de responsabilidade (2),Responsáveis (3),Tipo de responsabilidade (3),Atividade/evento (1),Especificação (1),Local (1),Data ou período (1),Atividade/evento (2),Especificação (2),Local (2),Data  ou período (2),Descritores,Descritores,Descritores,Descritores,Referência,Observações
SBP,1.2.2,Decreto de revogação de afastamento,Unitária,São Paulo (SP),9/10/1952,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,Lucas Nogueira Garcez,Autor,Ernesto Leme,Autor,,,Docência,Cadeira de Parasitologia - Faculdade de Medicina da Universidade de São Paulo ,São Paulo (SP),1931-1956,Consultoria,Prestação de serviços técnicos ao Departamento de Estadual de Saúde de Sergipe,Aracaju (SE),1952,,,,,,
SBP,1.2.3,Carta de cobrança,Unitária,Londres (Reino Unido),11/3/1976,Datilografia,Papel,Folha,,Inglês,1,1,2f,Gordon Smith,Signatário,Royal Society of Tropical Medicine and Hygiene,Remetente,,,Filiação a entidades científicas ,Royal Society of Tropical Medicine and Hygiene,Londres (Reino Unido),1974-1976,,,,,,,,,,
SBP,1.2.4,Carta de cumprimentos,Unitária,Londres (Reino Unido),1/7/1974,Datilografia,Papel,Folha,,Inglês,1,2,1f,A. W. Woodruff,Signatário,Royal Society of Tropical Medicine and Hygiene,Remetente,,,Filiação a entidades científicas ,Royal Society of Tropical Medicine and Hygiene,Londres (Reino Unido),1974-1976,,,,,,,,,,
SBP,1.2.5,Carta de agradecimento,Unitária,São Paulo (SP),10/7/1974,Manuscritura,Papel,Folha,,Português,1,1,1f,A. W. Woodruff,Destinatário,Royal Society of Tropical Medicine and Hygiene,Destinatário,,,Filiação a entidades científicas ,Royal Society of Tropical Medicine and Hygiene,Londres (Reino Unido),1974-1976,,,,,,,,,,
SBP,1.2.6,Carta de agradecimento,Unitária,São Paulo (SP),10/7/1974,Manuscritura,Papel,Folha,,Inglês,1,1,1f,A. W. Woodruff,Destinatário,Royal Society of Tropical Medicine and Hygiene,Destinatário,,,Filiação a entidades científicas ,Royal Society of Tropical Medicine and Hygiene,Londres (Reino Unido),1974-1976,,,,,,,,,,
SBP,1.2.7,Carta de agradecimento,Unitária,São Paulo (SP),10/7/1974,"Datilografia, Manuscritura",Papel,Folha,,Inglês,1,1,1f,A. W. Woodruff,Destinatário,Royal Society of Tropical Medicine and Hygiene,Destinatário,,,Filiação a entidades científicas ,Royal Society of Tropical Medicine and Hygiene,Londres (Reino Unido),1974-1976,,,,,,,,,,
SBP,1.2.8,Carta de pedido de alteração cadastral,Unitária,São Paulo (SP),14/10/1974,Datilografia,Papel,Folha,,Inglês,1,1,1f,A. W. Woodruff,Destinatário,Royal Society of Tropical Medicine and Hygiene,Destinatário,,,Filiação a entidades científicas ,Royal Society of Tropical Medicine and Hygiene,Londres (Reino Unido),1974-1976,,,,,,,,,,
SBP,1.2.9,Carta de cumprimentos,Unitária,São Paulo (SP),18/7/1974,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,Augusto de Escragnole Tunay,Signatário,Instituto Adolfo Lutz,Remetente,,,Filiação a entidades científicas ,Royal Society of Tropical Medicine and Hygiene,Londres (Reino Unido),1974-1976,,,,,,,,,,
SBP,1.3.1,Discurso,Unitária,Londrina (PR),12/1/1980,Mimeografia,Papel,Folha,,Português,1,1,8f,Nitis Jacon de Araújo Moreira,Autor,,,,,Homenagem póstuma,Formatura da turma de medicina de 1980 da Universidade Estadual de Londrina,Londrina (PR),12/1/1980,,,,,,,,,,
SBP,1.3.2,Discurso,Unitária,São Paulo (SP),5/4/1945,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,2f,,,,,,,Participação em comissão,Presidente da comissão executiva do Movimento Médico Pró-Anistia,São Paulo (SP),5/4/1945,,,,,Rádio Cruzeiro do Sul ,,,,,
SBP,1.4.1,Convite,Unitária,São Paulo (SP),6/4/1976,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,Carlos da Silva Lacaz,Signatário,Faculdade de Medicina da Universidade de São Paulo ,Remetente,,,Docência,Cadeira de Parasitologia - Faculdade de Medicina da Universidade de São Paulo ,São Paulo (SP),1931-1956,Sessão solene,"Sessão extraordinária da Congregação da Faculdade de Medicina da Universidade de São Paulo, no Instituto Oscar Freire ",São Paulo (SP),30/4/1976,,,,,,
SBP,1.4.2,Carta de pedido de informação,Unitária,Paris (França),10/5/1952,"Datilografia, Manuscritura",Papel,Folha,,Francês,1,1,1f,Frédéric Joliot-Curie,Signatário,,,,,Participação em comissão,Comissão de personalidades científicas encarregada de examinar os fatos concernentes à guerra bacteriológica na Coreia e na China ,China e Coreia,1952,,,,,,,,,,
SBP,1.4.3,Convite,Unitária,Praga (República Checa),8/5/1952,"Datilografia, Manuscritura",Papel,Folha,,Francês,1,1,2f,Tsien San-Tsiang,Signatário,,,,,Participação em comissão,Comissão de personalidades científicas encarregada de examinar os fatos concernentes à guerra bacteriológica na Coreia e na China ,China e Coreia,1952,,,,,,,,,,
SBP,1.4.4,Requerimento de aquisição de equipamentos,Unitária,São Paulo (SP),30/12/1963,Datilografia,Papel,Folha,,Português,1,1,1f,Damasceno Costa,Destinatário,,,,,Pesquisa,Combate à doença de Chagas e à Leishmaniose - Instituto de Medicina Tropical da Universidade de São Paulo ,São Paulo (SP),1963,,,,,,,,,,
SBP,1.4.5,Recibo,Unitária,São Paulo (SP),16/1/1964,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,,,,,,,Pesquisa,Combate à doença de Chagas e à Leishmaniose - Instituto de Medicina Tropical da Universidade de São Paulo ,São Paulo (SP),1963,,,,,Departamento Nacional de Endemias Rurais,,,,,
SBP,1.4.6,Recibo,Unitária,São Paulo (SP),21/9/1965,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,,,,,,,Pesquisa,Combate à doença de Chagas e à Leishmaniose - Instituto de Medicina Tropical da Universidade de São Paulo ,São Paulo (SP),1963,,,,,,,,,,
SBP,1.4.7,Recibo,Unitária,São Paulo (SP),23/1/1964,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,,,,,,,Pesquisa,Combate à doença de Chagas e à Leishmaniose - Instituto de Medicina Tropical da Universidade de São Paulo ,São Paulo (SP),1963,,,,,Departamento Nacional de Endemias Rurais,,,,,
SBP,1.4.8,Recibo,Unitária,São Paulo (SP),11/3/1964,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,Aluízio Rosa Prata,Signatário,,,,,Empréstimo de equipamento,Empréstimo de equipamentos para a Fundação Gonçalo Moniz,São Paulo (SP),11/3/1964,,,,,,,,,,
SBP,1.4.9,Nota fiscal,Unitária,São Paulo (SP),12/7/1961,Manuscritura,Papel,Folha,,Português,1,1,1f,,,,,,,Pesquisa,Aquisição de equipamentos,São Paulo (SP),1961,,,,,,,,,,
SBP,1.4.10,Nota de pedido,Unitária,São Paulo (SP),s.d.,Manuscritura,Papel,Folha,,Português,1,1,1f,,,,,,,Pesquisa,Aquisição de equipamentos,s.l.,1961,,,,,,,,,,
SBP,1.4.11,Lista de equipamentos,Unitária,São Paulo (SP),s.d.,Datilografia,Papel,Folha,,Português,1,1,1f,,,,,,,Pesquisa,Aquisição de equipamentos,São Paulo (SP),1961,,,,,,,,,,
SBP,1.4.12,Lista de equipamentos,Unitária,s.l.,s.d.,Manuscritura,Papel,Folha,,Português,1,1,1f,,,,,,,Pesquisa,Aquisição de equipamentos,s.l.,s.d.,,,,,,,,,,
SBP,1.5.1,Carta de denúncia,Unitária,s.l.,s.d.,Datilografia,Papel,Folha,,Português,1,1,5f,,,,,,,Inquérito Policial Militar,Processo de investigação de atividades de professores na Faculdade de Medicina da Universidade de São Paulo,São Paulo (SP),1964,,,,,Faculdade de Medicina da Universidade de São Paulo ,,,,,
SBP,1.6.1,Depoimento,Unitária,São Paulo (SP),15/7/1964,Manuscritura,Papel,Folha,,Português,1,3,3f,Antonio Dácio Franco do Amaral,Autor,,,,,Inquérito Policial Militar,Processo de investigação de atividades de professores na Faculdade de Medicina da Universidade de São Paulo,São Paulo (SP),1964,,,,,Faculdade de Medicina da Universidade de São Paulo ,,,,,
SBP,1.7.1,Depoimento,Unitária,São Paulo (SP),9/7/1964,Datilografia,Papel,Folha,,Português,1,3,2f,Isabel Lourdes Camargo,Autor,,,,,Inquérito Policial Militar,Processo de investigação de atividades de professores na Faculdade de Medicina da Universidade de São Paulo,São Paulo (SP),1964,,,,,Faculdade de Medicina da Universidade de São Paulo ,,,,,
SBP,1.7.2,Depoimento,Unitária,São Paulo (SP),17/7/1964,Datilografia,Papel,Folha,,Português,1,2,4f,Elfride Kirchener,Autor,,,,,Inquérito Policial Militar,Processo de investigação de atividades de professores na Faculdade de Medicina da Universidade de São Paulo,São Paulo (SP),1964,,,,,Faculdade de Medicina da Universidade de São Paulo ,,,,,
SBP,1.8.1,Depoimento,Unitária,São Paulo (SP),4/8/1964,"Datilografia, Manuscritura",Papel,Folha,,Português,1,2,2f,Alzira Pinotti Bertolazi,Autor,,,,,Inquérito Policial Militar,Processo de investigação de atividades de professores na Faculdade de Medicina da Universidade de São Paulo,São Paulo (SP),1964,,,,,Faculdade de Medicina da Universidade de São Paulo ,,,,,
SBP,1.8.2,Depoimento,Unitária,São Paulo (SP),5/8/1964,Datilografia,Papel,Folha,,Português,1,2,2f,Alcira Nancy de Paula Campos,Autor,,,,,Inquérito Policial Militar,Processo de investigação de atividades de professores na Faculdade de Medicina da Universidade de São Paulo,São Paulo (SP),1964,,,,,Faculdade de Medicina da Universidade de São Paulo ,,,,,
SBP,1.8.3,Depoimento,Unitária,São Paulo (SP),3/8/1964,Datilografia,Papel,Folha,,Português,1,1,3f,Luiz Carlos Uchôa Junqueira,Autor,,,,,Inquérito Policial Militar,Processo de investigação de atividades de professores na Faculdade de Medicina da Universidade de São Paulo,São Paulo (SP),1964,,,,,Faculdade de Medicina da Universidade de São Paulo ,,,,,
SBP,1.9.1,Depoimento,Unitária,São Paulo (SP),6/8/1964,Datilografia,Papel,Folha,,Português,1,1,2f,Leny Yabuta,Autor,,,,,Inquérito Policial Militar,Processo de investigação de atividades de professores na Faculdade de Medicina da Universidade de São Paulo,São Paulo (SP),1964,,,,,Faculdade de Medicina da Universidade de São Paulo ,,,,,
SBP,1.9.2,Depoimento,Unitária,São Paulo (SP),25/8/1964,Datilografia,Papel,Folha,,Português,1,2,1f,Antonio Dácio Franco do Amaral,Autor,,,,,Inquérito Policial Militar,Processo de investigação de atividades de professores na Faculdade de Medicina da Universidade de São Paulo,São Paulo (SP),1964,,,,,Faculdade de Medicina da Universidade de São Paulo ,,,,,
SBP,1.9.3,Depoimento,Unitária,São Paulo (SP),10/9/1964,Datilografia,Papel,Folha,,Português,1,1,1f,Aluízio Rosa Prata,Autor,,,,,Inquérito Policial Militar,Processo de investigação de atividades de professores na Faculdade de Medicina da Universidade de São Paulo,São Paulo (SP),1964,,,,,Faculdade de Medicina da Universidade de São Paulo ,,,,,Conservação: dobra/vinco
SBP,1.10.1,Discurso,Unitária,São Paulo (SP),16/1/1946,Datilografia,Papel,Folha,,Português,1,1,2f,,,,,,,Homenagem,Comitê democrático e popular de Santa Cecília e Vila Buarque,São Paulo (SP),16/1/1946,Militância,-,-,-,,,,,,"Conservação: rasgo, sem prejuízo de leitura; dobra/vinco. "
SBP,1.10.2,Reportagem,Unitária,São Paulo (SP),jan/68,Impressão,Papel,Folha,,Português,1,1,5f,Hamilton Ribeiro,Autor,Jorge Butsuen,Fotógrafo,,,Pesquisa,Instituto Butantan,São Paulo (SP),1968 - 1975 ,,,,,Realidade (periódico),,,,"RIBEIRO, Hamilton. Do que morre o Brasil, Realidade, São Paulo, Ano 2, nº 22, pp. 104-111, janeiro de 1968",
SBP,1.11.1,Petição,Unitária,São Paulo (SP),4/3/1975,Datilografia,Papel,Folha,,Português,1,2,6f,Hélio Navarro,Signatário,,,,,Prisão,Detenção na sede da Operação Bandeirantes (OBAN),São Paulo (SP),mar/75,,,,,,,,,,
SBP,1.11.2,Carta de pedido de autorização,Unitária,Itajubá (MG),10/8/1978,Datilografia,Papel,Folha,,Português,1,1,1f,Luiz Marcos Ribeiro,Signatário,,,,,Homenagem póstuma,Homenageado como patrono da Associação Atlético-acadêmica da Faculdade de Medicina de Itajubá,Itajubá (MG),1978,,,,,,,,,,
SBP,1.11.3,Carta de agradecimento,Unitária,São Paulo (SP),31/8/1978,Datilografia,Papel,Folha,,Português,1,1,1f,Jovina Álvares Pessoa,Signatário,,,,,Homenagem póstuma,Homenageado como patrono da Associação Atlético-acadêmica da Faculdade de Medicina de Itajubá,Itajubá (MG),1978,,,,,,,,,,
SBP,1.12.1,Circular,Unitária,São Paulo (SP),6/8/1959,Datilografia,Papel,Folha,,Português,1,1,1f,Djalma Negreiros Penteado,Signatário,Ministério Público do Estado de São Paulo. Curadoria dos Resíduos da Comarca de São Paulo ,Remetente,,,Direção,Fundação José Pinto Alves,São Paulo (SP),1958,,,,,,,,,,
SBP,1.12.2,Carta de encaminhamento de documentos ,Unitária,São Paulo (SP),10/10/1959,Datilografia,Papel,Folha,,Português,1,1,2f,Djalma Negreiros Penteado,Destinatário,Ministério Público do Estado de São Paulo. Curadoria dos Resíduos da Comarca de São Paulo ,Destinatário,,,Direção,Fundação José Pinto Alves,São Paulo (SP),1958,,,,,,,,,,
SBP,1.12.3,Carta de encaminhamento de documentos ,Unitária,s.l.,s.d.,Manuscritura,Papel,Folha,,Português,1,1,2f,Djalma Negreiros Penteado,Destinatário,Ministério Público do Estado de São Paulo. Curadoria dos Resíduos da Comarca de São Paulo ,Destinatário,,,Direção,Fundação José Pinto Alves,São Paulo (SP),1958,,,,,,,,,,
SBP,1.12.4,Balanço contábil,Unitária,s.l.,s.d.,Manuscritura,Papel,Folha,,Português,1,1,1f,,,,,,,Direção,Fundação José Pinto Alves,São Paulo (SP),1958,,,,,,,,,,
SBP,1.13.1,Relatório de publicações,Unitária,s.l.,s.d.,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,4f,,,,,,,Direção,Fundação José Pinto Alves,São Paulo (SP),1944-1960,,,,,,,,,,
SBP,1.14.1,Necrológio,Unitária,São Paulo (SP),3/10/1976,Impressão,Papel,Folha,,Português,1,2,2f,Marcelo O. A. Corrêa,Autor,,,,,Falecimento,Falecimento de Samuel Barnsley Pessoa,São Paulo (SP),3/9/1976,,,,,,,,,,
SBP,1.15.1,Relatório de prestação de contas,Unitária,São Paulo (SP),10/9/1959,Datilografia,Papel,Folha,,Português,1,1,16f,Djalma Negreiros Penteado,Destinatário,Ministério Público do Estado de São Paulo. Curadoria dos Resíduos da Comarca de São Paulo ,Destinatário,,,Direção,Fundação José Pinto Alves,São Paulo (SP),1958,,,,,,,,,,
SBP,1.16.1,Carta de condolências,Unitária,São Paulo (SP),28/7/1977,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,Renato Pereira,Signatário,Jovina Álvares Pessoa,Destinatário,,,Falecimento,Falecimento de Samuel Barnsley Pessoa,São Paulo (SP),3/9/1976,,,,,,,,,,
SBP,1.16.2,Carta de condolências,Unitária,Fortaleza (CE),18/8/1977,Manuscritura,Papel,Folha,,Português,1,1,1f,Joaquim Eduardo de Alencar,Signatário,Jovina Álvares Pessoa,Destinatário,,,Falecimento,Falecimento de Samuel Barnsley Pessoa,São Paulo (SP),3/9/1976,,,,,,,,,,
SBP,1.16.3,Depoimento,Unitária,s.l.,s.d.,Datilografia,Papel,Folha,,Português,1,1,6f,Joaquim Eduardo de Alencar,Autor,,,,,Publicação,Ensaios médico-sociais (2a. edição),São Paulo (SP),1978,,,,,,,,,,
SBP,1.17.1,Depoimento,Unitária,Florianópolis (SC),jul/77,Impressão,Papel,Folha,,Português,1,3,13f,Kurt Kloetzel,Autor,,,,,Publicação,Ensaios médico-sociais (2a. edição),São Paulo (SP),1978,,,,,,,,,,
SBP,1.18.1,Conferência,Unitária,s.l.,s.d.,Datilografia,Papel,Folha,,Português,1,1,1f,Amílcar Vianna Martins ,Autor,,,,,Homenagem póstuma,-,s.l.,s.d.,,,,,,,,,,
SBP,1.18.2,Discurso,Unitária,São Paulo (SP),1976,Datilografia,Papel,Folha,,Português,1,1,1f,,,,,,,Homenagem póstuma,-,São Paulo (SP),s.d.,,,,,Faculdade de Medicina da Universidade de São Paulo ,,,,,
SBP,1.18.3 ,discurso,Unitária,s.l.,s.d.,Datilografia,Papel,Folha,,Português,1,1,1f,,,,,,,Homenagem póstuma,-,s.l.,s.d.,,,,,,,,,,
SBP,1.18.4,Necrológio,Unitária,s.l.,17/3/1977,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,2f,Percy Cyril Claude Garnham,Autor,,,,,Falecimento,Falecimento de Samuel Barnsley Pessoa,São Paulo (SP),3/9/1976,,,,,,,,,,
SBP,1.18.5,Convite,Unitária,São Paulo (SP),9/12/1976,"Datilografia, Manuscritura",Papel,Folha,,Português,2,1,2f,Graziela Almeida da Silva,Signatário,Jovina Álvares Pessoa,Destinatário,,,Homenagem póstuma,"Homenageado como patrono da turma de alunos do 2º Curso de Especialização em Saúde Pública para Nível Local, da Faculdade de Saúde Pública da Universidade de São Paulo ",São Paulo (SP),16/12/1976,,,,,,,,,,
SBP,1.18.6,Convite,Unitária,São Paulo (SP),15/12/1976,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,Jovina Álvares Pessoa,Destinatário,,,,,Homenagem póstuma,-,São Paulo (SP),29/12/1976,,,,,Faculdade de Medicina da Universidade de São Paulo ,,,,,
SBP,1.18.7,Necrológio,Unitária,s.l.,s.d.,Datilografia,Papel,Folha,,Português,1,1,6f,José Vicente Martins Campos,Autor,,,,,Falecimento,Falecimento de Samuel Barnsley Pessoa,São Paulo (SP),3/9/1976,,,,,Arquivos de Gastroenterologia,,,,,
SBP,1.19.1,Carta de agradecimento,Unitária,Rio de Janeiro (RJ),20/6/1973,Manuscritura,Papel,Folha,,"Francês, Português",1,1,2f,Emmanuel Forichon,Signatário,,,,,Relacionamento profissional,-,São Paulo (SP),1973,,,,,,,,,,
SBP,1.19.2,Cartão de cumprimentos,Unitária,s.l.,s.d.,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,-,-,-,-,-,-,Relacionamento social,-,s.l.,s.d.,,,,,,,,,,
SBP,1.19.3 ,Carta de notícias,Unitária,Porto Alegre (RS),16/5/1975,Manuscritura,Papel,Folha,,Português,1,1,3f,Oscar Miranda Fróes,Signatário,,,,,Relacionamento profissional,-,São Paulo (SP),1975,,,,,,,,,,
SBP,1.19.4,Carta de agradecimento,Unitária,São Paulo (SP),30/1/1970,"Datilografia, Manuscritura",Papel,Folha,,Inglês,1,1,1f,Maria Teresinha Dias de Andrade,Signatário,David Weimman,Destinatário,-,-,Relacionamento profissional,-,São Paulo (SP),1970,,,,,Faculdade de Saúde Pública da Universidade de São Paulo,University of New Haven. Department of Microbiology ,,,,
SBP,1.19.5,Carta de agradecimento,Unitária,Londrina (PR),12/11/1975,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,Antonio Verenhitach,Signatário,,,,,Relacionamento profissional,-,São Paulo (SP),1975,,,,,,,,,,
SBP,1.19.6,Carta de encaminhamento,Unitária,s.l.,5/11/1969,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,Aluízio Rosa Prata,Signatário,Guilhermino Milton da Silveira,Destinatário,,,Empréstimo de equipamento,Empréstimo de equipamentos para a Fundação Gonçalo Moniz,Salvador (BA),1969,,,,,Fundação Gonçalo Moniz,?,,,,
SBP,1.19.7,Carta de agradecimento,Unitária,Salvador (BA),6/11/1969,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,Aluízio Rosa Prata,Signatário,,,,,Empréstimo de equipamento,Empréstimo de equipamentos para a Fundação Gonçalo Moniz,Salvador (BA),1969,,,,,Fundação Gonçalo Moniz,,,,,
SBP,1.19.8,Recibo,Unitária,São Paulo (SP),2/11/1969,Manuscritura,Papel,Folha,,Português,1,1,1f,Damasceno Costa,Signatário,,,,,Empréstimo de equipamento,Empréstimo de equipamentos para a Fundação Gonçalo Moniz,Salvador (BA),1969,,,,,Departamento Nacional de Endemias Rurais,,,,,
SBP,1.19.9,Carta de encaminhamento,Unitária,São Paulo (SP),29/9/1969,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,Damasceno Costa,Destinatário,,,,,Empréstimo de equipamento,Empréstimo de equipamentos para a Fundação Gonçalo Moniz,Salvador (BA),1969,,,,,Departamento Nacional de Endemias Rurais,,,,,
SBP,1.19.10,Carta de agradecimento,Unitária,Little Rock (Estados Unidos),29/8/1975,"Datilografia, Manuscritura",Papel,Folha,,Inglês,1,1,1f,James J. Daly ,Signatário,,,,,Relacionamento profissional,-,São Paulo (SP),1975,,,,,University of Arkansas. Department of Microbiology and Immunology,,,,,
SBP,1.20.1,Informativo,Unitária,São Paulo (SP),jun/08,Impressão,Papel,Folha,,Português,1,1,8f,,,,,,,Discência,Gymnasio Anglo-Brazileiro,São Paulo (SP),1908,,,,,,,,,,"Conservação: rasgo, com prejuízo de leitura"
SBP,1.21.1,Necrológio,Unitária,s.l.,jan/77,Impressão,Papel,Folha,,Italiano,1,1,12f,Ettore Biocca,Autor,,,,,Falecimento,Falecimento de Samuel Barnsley Pessoa,São Paulo (SP),3/9/1976,,,,,,,,,,Documento incompleto
SBP,1.22.1,Necrológio,Unitária,s.l.,s.d.,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,5f,Ettore Biocca,Autor,,,,,Falecimento,Falecimento de Samuel Barnsley Pessoa,São Paulo (SP),3/9/1976,,,,,,,,,,
SBP,1.22.2,Necrológio,Unitária,s.l.,s.d.,Datilografia,Papel,Folha,,Português,1,1,5f,Ettore Biocca,Autor,,,,,Falecimento,Falecimento de Samuel Barnsley Pessoa,São Paulo (SP),3/9/1976,,,,,,,,,,
SBP,1.23.1,Convite,Unitária,Fortaleza (CE),1/12/1976,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,Vicente Nogueira Sales Neto,Signatário,Jovina Álvares Pessoa,Destinatário,,,Homenagem póstuma,Formatura da turma de medicina de 1976 da Faculdade de Medicina da Universidade Federal do Ceará,Fortaleza (CE),dez/76,,,,,Universidade Federal do Ceará. Faculdade de Medicina,,,,,
SBP,1.23.2,Carta de declinação de convite,Unitária,São Paulo (SP),13/12/1976,Datilografia,Papel,Folha,,Português,1,1,1f,Jovina Álvares Pessoa,Signatário,Vicente Nogueira Sales Neto,Destinatário,,,Homenagem póstuma,Formatura da turma de medicina de 1976 da Faculdade de Medicina da Universidade Federal do Ceará,Fortaleza (CE),dez/76,,,,,Universidade Federal do Ceará. Faculdade de Medicina,,,,,
SBP,1.23.3,Resenha,Unitária,Santiago (Chile),jul/54,Datilografia,Papel,Folha,,Espanhol,1,1,2f,Amador Neghme,Autor,,,,,Publicação,Parasitologia médica,Rio de Janeiro (RJ),1954,,,,,Boletín Chileno de Parasitologia,,,,,
SBP,1.23.4,Resenha,Unitária,s.l.,1952,Impressão,Papel,Folha,,Inglês,1,1,1f,Henry Harold Scott,Autor,,,,,Publicação,Parasitologia médica,Rio de Janeiro (RJ),1951,,,,,Tropical Diseases Bulletin,,,,,
SBP,1.23.5,Resenha,Unitária,s.l.,1954,Impressão,Papel,Folha,,Inglês,1,1,2f,Henry Harold Scott,Autor,,,,,Publicação,Parasitologia médica,Rio de Janeiro (RJ),1954,,,,,Tropical Diseases Bulletin,,,,,
