"nid","title","field_tipo_editais","field_publicar_na_p_gina_inicial","field_in_cio_inscri_o|value","field_in_cio_inscri_o|end_value","field_anexar_edital","field_linkconcurso","field_informacoes_oportunidades|value","field_tipo","field_informacoes_oportunidades|format"
"1604","EDITAN N° 45/2018 CONCURSO PARA PROFESSOR DE MAGISTÉRIO SUPERIOR","2",,"2018-08-20T03:00:00","2018-09-28T03:00:00","","https://www.ufpe.br/busca?p_p_id=101&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_101_struts_action=/asset_publisher/view_content&_101_assetEntryId=1602678&_101_type=content&_101_groupId=560019&_101_urlTitle=edital-n-45-2018-concurso-professor-efetivo&_101_redirect=https%3A//www.ufpe.br/busca%3Fp_p_id%3D3%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_3_entryClassName%3D%26_3_modifiedselection%3D0%26_3_keywords%3DCONCURSO%2BPROFESSOR%2BEFETIVO%26_3_documentsSearchContainerPrimaryKeys%3D15_PORTLET_922734%252C15_PORTLET_1602673%252C15_PORTLET_1070373%252C15_PORTLET_1505651%252C15_PORTLET_1375874%252C15_PORTLET_1375892%252C15_PORTLET_1375886%252C15_PORTLET_1375880%252C15_PORTLET_1484902%252C15_PORTLET_1070712%252C15_PORTLET_1605577%252C15_PORTLET_1221110%252C15_PORTLET_1215262%252C15_PORTLET_1258478%252C15_PORTLET_1375868%252C15_PORTLET_1602684%252C15_PORTLET_1208793%252C15_PORTLET_1221155%252C15_PORTLET_1268730%252C15_PORTLET_1268736%26_3_modifieddayFrom%3D12%26_3_format%3D%26_3_modifiedfrom%3D12%252F08%252F2018%26_3_formDate%3D1534161076259%26_3_modified%3D%26_3_modifieddayTo%3D13%26_3_modifiedto%3D13%252F08%252F2018%26_3_groupId%3D0%26_3_assetCategoryIds%3D%26_3_modifiedyearTo%3D2018%26_3_modifiedyearFrom%3D2018%26_3_modifiedmonthFrom%3D7%26_3_cur%3D1%26_3_struts_action%3D%252Fsearch%252Fsearch%26_3_assetTagNames%3D%26_3_modifiedmonthTo%3D7&inheritRedirect=true","<p>O REITOR DA UNIVERSIDADE FEDERAL DE PERNAMBUCO, com fundamento nas Leis nºs 8.112/1990 e 12.772/2012, no Decreto n° 6.944/2009 e na Resolução nº 02/2018 do Conselho Coordenador de Ensino, Pesquisa e Extensão da UFPE, torna público que estão abertas as inscrições para Concursos Públicos de Provas e Títulos, para provimento de cargos da Carreira do Magistério Superior.</p>

<p><strong>Área:</strong> Filosofia<br />
<strong>Subárea:</strong> Metafísica e Conhecimento; Ensino da Filosofia</p>

<p> </p>","","full_html"
"1357","EDITAL N° 05 DE 11 DE ABRIL DE 2018 CONCURSO PÚBLICO PARA PROFESSOR DE MAGISTÉRIO SUPERIOR DA UNIVERSIDADE FEDERAL DO AMAPÁ","2",,"2018-05-10T03:00:00","2018-05-21T03:00:00","http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/editais%20e%20oportunidades/arq601986.pdf, http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/editais%20e%20oportunidades/arq602014.pdf","https://depsec.unifap.br/index.php?c=prof18","<p>A Reitora da Universidade Federal do Amapá, no uso das suas atribuições conferidas pelo Decreto de 15 de setembro de 2014, publicado no Diário Oficial da União de 16 de setembro de 2014, torna pública a realização de Concurso Público de Provas e Títulos para o cargo de Professor de Magistério Superior, para as Classes Auxiliar, Assistente A e Adjunto A, nível I, conforme disposições contidas neste edital.</p>

<p><strong>Área:</strong> Filosofia<br />
<strong>Subárea:</strong> Filosofia Geral</p>","","full_html"
"1353","Processo Seletivo Simplificado para Professor Visitante e/ou Visitante Estrangeiro da Universidade Federal da Integração Latino-Americana","2",,"2018-05-04T03:00:00","2018-05-13T03:00:00","http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/Public%20Files/editais%20e%20oportunidades/edital_progepe_57_2018_-_pss_16_visitante_-_varias_areas.pdf","https://www.unila.edu.br/processo-seletivo-simplificado-para-professor-visitante-eou-visitante-estrangeiro-0","<p>A Pró-Reitora de Gestão de Pessoas da Universidade Federal da Integração Latino-Americana – UNILA, conforme competências delegadas por meio da Portaria UNILA nº 965, de 08 de junho de 2016, nos termos inciso IV e V do Art. 2º da Lei 8.745 de 9 de dezembro de 1993 e posteriores alterações, torna público o Edital de Abertura de Inscrição, destinado a selecionar Professor Visitante, por meio de Processo Seletivo Simplificado:</p>

<p><strong>Área:</strong> Filosofia<br />
<strong>Subáreas:</strong> Filosofia da Linguagem; Lógica</p>","","full_html"
"1145","Processo Seletivo Suplementar de Mestrado e Doutorado em Filosofia - UFGRS","2","1",,,"","","<p><strong>EDITAL DE ABERTURA DE INSCRIÇÕES PARA PROCESSO SELETIVO SUPLEMENTAR DE </strong><strong>MESTRADO E DOUTORADO EM FILOSOFIA – 2018/1</strong></p>

<p>O PROGRAMA DE PÓS-GRADUAÇÃO EM FILOSOFIA (PPGFIL) torna pública a abertura de inscrições para o processo seletivo suplementar de ingresso nos cursos de Mestrado e Doutorado (ano 2018), no período de 08 de janeiro de 2018 a 14 de janeiro de 2018, observados os procedimentos e critérios abaixo.</p>

<p>Saiba mais: <a href=""https://www.ufrgs.br/filosofia/blog/2017/12/08/edital-suplementar-de-exame-de-ingresso-2018/"">https://www.ufrgs.br/filosofia/blog/2017/12/08/edital-suplementar-de-exa...</a></p>","","full_html"
"1099","Resultado da seleção para estágio no Departamento de Filosofia","1","1",,,"","","<p><strong>Classificado</strong>: 1º Juliano Bonamigo Ferreira de Souza<br />
Fica o Sr. Juliano Bonamigo Ferreira de Souza convocado para dar início aos trâmites de contratação.</p>

<p><strong>Classificados em lista de espera</strong></p>

<p>2º Marina dos Santos Bohnenberger<br />
3º Victor Augusto da Cruz Pacheco<br />
4º Luiz Amaro de Araújo Fortes<br />
5º Laila Manuelle Neves Cadete</p>","","full_html"
"1090","Seleção para estágio no Departamento de Filosofia","1","1",,,"","","<p><span style=""color:rgb(34, 34, 34); font-family:arial,sans-serif; font-size:small"">Prezados candidatos,</span></p>

<div style=""color: rgb(34, 34, 34); font-family: arial, sans-serif; font-size: small;"">a seleção para o estágio no Departamento de Filosofia  será segunda-feira, dia 30 de outubro de 2017 a partir das 17h. A seleção do candidato será por ordem de chegada. </div>

<div style=""color: rgb(34, 34, 34); font-family: arial, sans-serif; font-size: small;""> </div>

<div style=""color: rgb(34, 34, 34); font-family: arial, sans-serif; font-size: small;"">
<p><strong>Inscritos:</strong></p>

<p>Arnaldo Branco Fernandes<br />
Debora Diana de Alencar <br />
Fernanda Ribeiro de Lima <br />
Henrique de Freitas Chimenes Gil<br />
Jade Bernardes<br />
João Gabriel Sampaio messias Ribeiro <br />
juliano Bonamigo Ferreira de Souza<br />
Laila Manuelle Neves cadete <br />
Luiz Amaro de Araújo Fortes<br />
Luma Rodrigues Araújo<br />
Mariana dos Santos bohnenberger<br />
Matheus Henrique Marques Morosov<br />
Pedro Tadeu Rodrigues Pinheiro <br />
Roger Farias de Melo <br />
Vagner Simões da Silva<br />
Victor Augusto da Cruz Pacheco</p>
</div>","","full_html"
"1080","Deferimento das inscrições para estágio no Departamento de Filosofia","1","1",,,"","","<p>O calendário e demais processos para a entrevista serão encaminhados individualmente por e-mail.</p>

<p><strong>Inscritos:</strong></p>

<p>Arnaldo Branco Fernandes<br />
Debora Diana de Alencar <br />
Fernanda Ribeiro de Lima <br />
Henrique de Freitas Chimenes Gil<br />
Jade Bernardes<br />
João Gabriel Sampaio messias Ribeiro <br />
juliano Bonamigo Ferreira de Souza<br />
Laila Manuelle Neves cadete <br />
Luiz Amaro de Araújo Fortes<br />
Luma Rodrigues Araújo<br />
Mariana dos Santos bohnenberger<br />
Matheus Henrique Marques Morosov<br />
Pedro Tadeu Rodrigues Pinheiro <br />
Roger Farias de Melo <br />
Vagner Simões da Silva<br />
Victor Augusto da Cruz Pacheco</p>","","full_html"
"943","Edital 213-17 (UFPR)","2","1",,,"","","<p>Edital para provimento de cargos de professor adjunto da Carreira do Magistério Superior na Área de Filosofia Política da Universidade Federal do Paraná.</p>

<p><strong>Saiba mais:</strong> <a href=""http://www.progepe.ufpr.br/progepe/concursos/docente/concursos_publicos/editais/edital213-17.pdf"">http://www.progepe.ufpr.br/progepe/concursos/docente/concursos_publicos/...</a></p>","","full_html"
"923","Edital n.033-2017 para Docente UFAL Efetivo - Maceió","2","1",,,"","","<p>Edital de abertura para professor adjunto para a Área de Filosofia Geral e Modernidade da Universidade Federal de Alagoas (campus Maceio).</p>

<p><strong>Saiba mais em:</strong> <a href=""http://www.copeve.ufal.br/index.php?opcao=concurso&idConcurso=332"">http://www.copeve.ufal.br/index.php?opcao=concurso&idConcurso=332</a></p>","","full_html"
"915","Última chamada: Edital PRPG 03-2017 - Mobilidade Santander","2","1",,,"","","<p><strong>Edital PRPG 03/2017 </strong>relativo a abertura de inscrição para a concessão de Auxilio para os Doutorandos realizarem estágio no Exterior (Mobilidade Santander).</p>

<p>Destacamos algumas regras:</p>

<p>1. O Estágio terá a duração máxima de 3 meses<br />
2. Só para alunos de Doutorado<br />
3. Será dada prioridade para alunos de dupla titulação (cujo Convênio já tenha sido aprovado)<br />
4. Cada Programa poderá selecionar apenas 1 (um) candidato<br />
5. A documentação (vejam instruções em anexo, item 4) <strong>deverá dar entrada na Secretaria do Departamento de Filosofia</strong> até o dia  04 de junho, impreterivelmente.</p>

<p><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/pdf_icon.gif"" style=""height:16px; width:16px"" /> <a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/editais%20e%20oportunidades/Edital%20PRPG%2003-2017%20Mob%20Santander%20(1).pdf"">Edital PRPG 03-2017</a><br />
<img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/doc.gif"" style=""height:16px; width:16px"" /> <a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/editais%20e%20oportunidades/Ficha%20de%20inscri%C3%A7%C3%A3o_Mob%20Santander%20Edital%2003-2017.docx"">Ficha de inscrição</a></p>","","full_html"
"910","EDITAL PROAD Nº 35/2017 - concurso para professor efetivo da UFOP","2","1",,,"","","<p>A Universidade Federal de Ouro Preto – UFOP torna público o presente edital que norteará a realização de concurso público de provas e títulos, destinado à seleção de Professor de Magistério Superior para a UFOP. O concurso para professor efetivo em diversas áreas, incuindo área de Filosofia, subárea: Metafísica com titulação mínima de Doutorado em Filosofia.</p>

<p><strong>Saiba mais:</strong> <a href=""http://www.concurso.ufop.br/index.php?option=com_content&task=view&id=5128&Itemid=66"">http://www.concurso.ufop.br/index.php?option=com_content&task=view&id=51...</a></p>","","full_html"
"850","Concurso para Professor Efetivo de Filosofia Política na Universidade Federal Fluminense","2","1",,,"","","<p>Estão abertas as inscrição para provimento de uma vaga de Professor Efetivo (Adjunto I, 40 horas) para a área de Filosofia Política no Departamento de Filosofia da Universidade Federal Fluminense (UFF). As inscrições vão até o dia 11/05 e peço que vocês me ajudem a divulgar o concurso.</p>

<p>Maiores informações podem ser colhidas no site da Comissão de Pessoal Docente da UFF:<br />
<a href=""https://sistemas.uff.br/cpd/concurso/informacoesPublicaConcurso.cpd"">https://sistemas.uff.br/cpd/concurso/informacoesPublicaConcurso.cpd</a><br />
 </p>","","full_html"
