id_material,IdUsuario,IdSugestao,IdTipodeMaterial,tbTipodeMaterialSubcategoria,numero_capes,idTipodeVerba,Tombo,Tombo Antigo,código de impressão,ordem_relatorio,Processo,Fornecedor,Nota Fiscal,Pasta,tipo de aquisição,Data,DataAqExport,Moeda,Preço,Importado,origem_da_importacao,patrimonio_ativo
10988,8,15989,2,,,,387494,,07-04-14,,,BCA LETRAS-FFLCH/USP,,,Retombamento,4/9/2014,,R$,130,Não,AQUISIÇÃO,Sim
10989,8,15990,2,,,,387473,,10-04-14,,,A.S.R. DOS SANTOS,,,Doação,4/10/2014,,R$,40,Não,AQUISIÇÃO,Sim
10990,8,15991,2,,,,387466,,10-04-14,,,VALERIA DE MARCO,,,Doação,4/10/2014,,R$,130,Não,AQUISIÇÃO,Sim
10991,8,15992,2,,,,387435,,10-04-14,,,M.R. DE B. SILVA,,,Doação,4/10/2014,,R$,40,Não,AQUISIÇÃO,Sim
10992,8,15993,2,,,,387434,,10-04-14,,,M.R. DE B. SILVA,,,Doação,4/10/2014,,R$,40,Não,AQUISIÇÃO,Sim
10993,8,15994,2,,,,387464,251516,10-04-14,,,N. USP 8570540,,,Reposição,4/10/2014,,R$,130,Não,AQUISIÇÃO,Sim
10994,8,15995,2,,,,387480,207499,10-04-14,,,N. USP 7956510,,,Reposição,4/10/2014,,R$,40,Não,AQUISIÇÃO,Sim
10995,8,15996,2,,,,387374,222418,10-04-14,,,N. USP 6841292,,,Reposição,4/10/2014,,R$,40,Não,AQUISIÇÃO,Sim
10996,8,15997,2,,,,387376,83956,10-04-14,,,N. USP 8962551,,,Reposição,4/10/2014,,R$,40,Não,AQUISIÇÃO,Sim
10997,8,15998,2,,,,387463,207015,10-04-14,,,N. USP 8981285,,,Reposição,4/10/2014,,R$,40,Não,AQUISIÇÃO,Sim
10998,8,15999,2,,,,387476,357796,10-04-14,,,N. USP 8462320,,,Reposição,4/10/2014,,R$,130,Não,AQUISIÇÃO,Sim
10999,8,16000,2,,,,387379,351003,10-04-14,,,N. USP 5161117,,,Reposição,4/10/2014,,R$,40,Não,AQUISIÇÃO,Sim
11000,8,16001,2,,,,387378,323443,10-04-14,,,N. USP 3285501,,,Reposição,4/10/2014,,R$,40,Não,AQUISIÇÃO,Sim
11001,8,16002,2,,,,387462,35483,10-04-14,,,N. USP 7635387,,,Reposição,4/10/2014,,R$,40,Não,AQUISIÇÃO,Sim
11002,8,16003,2,,,,387479,108223,10-04-14,,,N. USP 6841872,,,Reposição,4/10/2014,,R$,40,Não,AQUISIÇÃO,Sim
11003,8,16004,2,,,,387478,211421,10-04-14,,,N. USP 6841872,,,Reposição,4/10/2014,,R$,40,Não,AQUISIÇÃO,Sim
11004,8,16005,2,,,,387475,126752,10-04-14,,,N. USP 7195651,,,Reposição,4/10/2014,,R$,40,Não,AQUISIÇÃO,Sim
11005,8,16006,2,,,,387465,238668,10-04-14,,,N. USP 3563904,,,Reposição,4/10/2014,,R$,40,Não,AQUISIÇÃO,Sim
11006,8,16007,2,,,,387477,L262875,10-04-14,,,N. USP 5939695,,,Reposição,4/10/2014,,R$,40,Não,AQUISIÇÃO,Sim
11007,8,16008,2,,,,387377,79733,10-04-14,,,N. USP 3750354,,,Reposição,4/10/2014,,R$,40,Não,AQUISIÇÃO,Sim
11008,8,16009,2,,,,387375,357914,10-04-14,,,N. USP 8567362,,,Reposição,4/10/2014,,R$,130,Não,AQUISIÇÃO,Sim
11009,8,16010,2,,,11,387481,,VALMARCO,,302635/2010-6,,,,Doação,4/10/2014,,R$,130,Não,AQUISIÇÃO,Sim
11010,8,16011,2,,,11,387482,,VALMARCO,,302635/2010-6,,,,Doação,4/10/2014,,R$,130,Não,AQUISIÇÃO,Sim
11011,8,16012,2,,,11,387483,,VALMARCO,,302635/2010-6,,,,Doação,4/10/2014,,R$,130,Não,AQUISIÇÃO,Sim
11012,8,16013,2,,,11,387484,,VALMARCO,,302635/2010-6,,,,Doação,4/10/2014,,R$,130,Não,AQUISIÇÃO,Sim
11013,8,16014,2,,,11,387485,,VALMARCO,,302635/2010-6,,,,Doação,4/10/2014,,R$,130,Não,AQUISIÇÃO,Sim
11014,8,16015,2,,,11,387486,,VALMARCO,,302635/2010-6,,,,Doação,4/10/2014,,R$,130,Não,AQUISIÇÃO,Sim
11015,8,16016,2,,,11,387487,,VALMARCO,,302635/2010-6,,,,Doação,4/10/2014,,R$,130,Não,AQUISIÇÃO,Sim
11016,8,16017,5,,,11,387488,,VALMARCO,,302635/2010-6,,,,Doação,4/10/2014,,R$,130,Não,AQUISIÇÃO,Sim
11017,8,16018,5,,,11,387489,,VALMARCO,,302635/2010-6,,,,Doação,4/10/2014,,R$,130,Não,AQUISIÇÃO,Sim
11018,8,16019,5,,,11,387490,,VALMARCO,,302635/2010-6,,,,Doação,4/10/2014,,R$,130,Não,AQUISIÇÃO,Sim
11019,8,16020,5,,,11,387491,,VALMARCO,,302635/2010-6,,,,Doação,4/10/2014,,R$,130,Não,AQUISIÇÃO,Sim
11020,8,16021,2,,,,387605,,07-05-14,,,V.GIL CONDE-CEG,,,Doação,4/11/2014,,R$,130,Não,AQUISIÇÃO,Sim
11021,8,16022,2,,,,387504,,RET/04,,,BCA DE FIL E C.S.-FFLCH/USP,,,Retombamento,4/11/2014,,R$,130,Não,AQUISIÇÃO,Sim
11022,8,16023,2,,,,387508,,RETO/04,,,EDITORIAL MINERVA,,,Retombamento,4/11/2014,,R$,130,Não,AQUISIÇÃO,Sim
11023,8,16024,2,,,,387506,,RET/04,,,RENATO TERRA,,,Retombamento,4/11/2014,,R$,130,Não,AQUISIÇÃO,Sim
11024,8,16025,2,,,,387502,,RET/04,,,RICARDO TERRA,,,Retombamento,4/11/2014,,R$,130,Não,AQUISIÇÃO,Sim
11025,8,16026,2,,,,387501,,RET/04,,,CAD. DE HISTORIA-FFLCH/USP,,,Retombamento,4/11/2014,,R$,130,Não,AQUISIÇÃO,Sim
11026,8,16027,2,,,,387509,,RET/04,,,CAD. DE FILOSOFIA,,,Retombamento,4/11/2014,,R$,40,Não,AQUISIÇÃO,Sim
11027,8,16028,2,,,,387500,53418,RET/04,,,BCA HISTORIA-FFLCH/USP,,,Retombamento,4/11/2014,,R$,130,Não,AQUISIÇÃO,Sim
11028,8,16029,2,,,,387505,,RET/04,,,BCA DE LETRAS-FFLCH/USP,,,Retombamento,4/11/2014,,R$,130,Não,AQUISIÇÃO,Sim
11029,8,16030,2,,,,387503,,RET/04,,,CEP-USP,,,Retombamento,4/11/2014,,R$,130,Não,AQUISIÇÃO,Sim
11030,8,16031,2,,,,387510,,RET/04,,,CAD. DE ALEMAO,,,Retombamento,4/11/2014,,R$,130,Não,AQUISIÇÃO,Sim
11032,8,16033,2,,,,387511,,RET/04,,,CAD. DE LINGUA E LIT. ALEMA,,,Retombamento,4/11/2014,,R$,130,Não,AQUISIÇÃO,Sim
11033,8,16034,2,,,,387513,,RET/04,,,CURSO DE RUSSO,,,Retombamento,4/11/2014,,R$,130,Não,AQUISIÇÃO,Sim
11034,8,16035,2,,,,387512,,RET/04,,,CAD. DE ESPANHOL,,,Retombamento,4/11/2014,,R$,130,Não,AQUISIÇÃO,Sim
11035,8,16036,2,,,,387514,,RET/04,,,BCA DE FIL.E CS-FFLCH,,,Retombamento,4/11/2014,,R$,130,Não,AQUISIÇÃO,Sim
11036,8,16037,2,,,,387517,,RET/04,,,BCA DE LETRAS-FFLCH/USP,,,Retombamento,4/11/2014,,R$,130,Não,AQUISIÇÃO,Sim
11037,8,16038,2,,,,387520,,RET/04,,,BCA DE LETRAS-FFLCH/USP,,,Retombamento,4/11/2014,,R$,130,Não,AQUISIÇÃO,Sim
11038,8,16039,2,,,,387518,,RET/04,,,CAD. DE LINGUA E LIT. ALEMA,,,Retombamento,4/11/2014,,R$,130,Não,AQUISIÇÃO,Sim
11039,8,16040,2,,,,387607,,RET/4/14,,,CAD. DE FILOSOFIA-FFLCH/USP,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11040,8,16041,2,,,,387606,129895,RET/4/14,,,ANONIMA,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11041,8,16042,2,,,,387608,,RET/4/14,,,BCA DO DEP. DE FILOSOFIA,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11042,8,16043,2,,,,387521,,RET/04,,,BCA DO DEP. DE FILOSOFIA,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11043,8,16044,2,,,,387515,,RET/04,,,CAD. DE ESPANHOL,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11044,8,16045,2,,,,387522,,RET/04,,,BCA LETRAS-FFLCH/USP,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11045,8,16046,2,,,,387523,,RET/04,,,CAD. DE ESPANHOL,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11046,8,16047,2,,,,387524,,RET/04,,,CAD. DE ESPANHOL,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11047,8,16048,2,,,,387525,,RET/04,,,BCA DE LETRAS/FFLCH/USP,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11048,8,16049,2,,,,387526,,RET/04,,,CAD. DE ESPANHOL,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11049,8,16050,2,,,,387527,,RET/04,,,BCA LETRAS-FFLCH/USP,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11050,8,16051,2,,,,387528,,RET/04,,,BCA DE LETRAS-FFLCH/USP,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11051,8,16052,2,,,,387529,,RET/04,,,J. CRUZ COSTA-GAB.DE HISTORIA,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11052,8,16053,2,,,,387530,,RET/04,,,BCA DE FILOSOFIA-FFLCH/USP,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11053,8,16054,2,,,,387531,,RET/04,,,BCA DE FILOSOFIA-FFLCH/USP,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11054,8,16055,2,,,,387532,,RET/04,,,BCA DE FILOSOFIA-FFLCH/USP,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11055,8,16056,2,,,,387533,,RET/04,,,BCA DE FILOSOFIA-FFLCH/USP,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11056,8,16057,2,,,,387534,,RET/04,,,"BCA DE FILOSOFIA, ABT, 21",,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11057,8,16058,2,,,,387535,,RET/04,,,BCA DE FILOSOFIA-FFLCH/USP,,,Doação,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11058,8,16059,2,,,,387507,,RET/04,,,BCA DE FILOSOFIA-FFLCH/USP,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11059,8,16060,2,,,,387536,,RET/04,,,BCA DE FILOSOFIA-FFLCH/USP,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11060,8,16061,2,,,,387537,,RET/04,,,BCA DE FILOSOFIA-FFLCH/USP,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11061,8,16062,2,,,,387538,,RET/04,,,BCA DE FILOSOFIA-FFLCH/USP,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11062,8,16063,2,,,,387539,,RET/04,,,BCA DE FILOSOFIA-FFLCH/USP,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11063,8,16064,2,,,,387540,,RET/04,,,BCA DE FILOSOFIA-FFLCH/USP,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11064,8,16065,2,,,,387543,,RET/04,,,BCA DE FILOSOFIA-FFLCH/USP,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11065,8,16066,2,,,,387541,,RET/04,,,CAD. DE ALEMAO-FFLCH/USP,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11066,8,16067,2,,,,387542,,RET/04,,,ED. MELHORAMENTOS,,,Retombamento,4/14/2014,,R$,40,Não,AQUISIÇÃO,Sim
11067,8,16068,2,,,,387544,,RET/04,,,CAD. DE ALEMAO,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11068,8,16069,2,,,,387545,,RET/04,,,BCA DE LETRAS-FFLCH/USP,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11069,8,16070,2,,,,387546,,RET/04,,,BCA DE FILOSOFIA E C. SOCIAIS,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11070,8,16071,2,,,,387547,,RET/04,,,BCA DE LETRAS-FFLCH/USP,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11071,8,16072,2,,,,387548,,RET/04,,,GIOCONDA MUSOLINI,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11072,8,16073,2,,,,387550,17510,RET/04,,,BCA DE LETRAS-FFLCH/USP,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11073,16,16074,2,,,,387612,,CL-140414,,,,,,Doação,4/14/2014,,R$,40,Não,AQUISIÇÃO,Sim
11074,8,16075,2,,,,387551,,RET/04,,,BCA DE ANTROP.-FFLCH/USP,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11075,8,16076,2,,,,387549,,RET/04,,,CAD. DE LINGUA E LITER. ALEMA,,,Retombamento,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11076,16,16077,2,,,,387613,,CL-140414,,,,,,Doação,4/14/2014,,R$,40,Não,AQUISIÇÃO,Sim
11077,16,16078,2,,,,387614,,CL-140414,,,,,,Doação,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11078,16,16079,2,,,,387615,,CL-140414,,,,,,Doação,4/14/2014,,R$,40,Não,AQUISIÇÃO,Sim
11079,16,16080,2,,,,387616,,CL-140414,,,,,,Doação,4/14/2014,,R$,130,Não,AQUISIÇÃO,Sim
11080,16,16081,2,,,,387617,,CL-140414,,,,,,Doação,4/15/2014,,R$,130,Não,AQUISIÇÃO,Sim
11081,16,16082,2,,,,387618,,CL-140414,,,,,,Doação,4/15/2014,,R$,40,Não,AQUISIÇÃO,Sim
11082,16,16083,2,,,,387619,,CL-140414,,,,,,Doação,4/15/2014,,R$,130,Não,AQUISIÇÃO,Sim
11083,16,16084,2,,,,387620,,CL-140414,,,,,,Doação,4/15/2014,,R$,40,Não,AQUISIÇÃO,Sim
11084,16,16085,2,,,,387621,,CL-140414,,,,,,Doação,4/15/2014,,R$,40,Não,AQUISIÇÃO,Sim
11085,16,16086,2,,,,387622,,CL-140414,,,,,,Doação,4/15/2014,,R$,40,Não,AQUISIÇÃO,Sim
11086,16,16087,2,,,,387623,,CL-140414,,,,,,Doação,4/15/2014,,R$,40,Não,AQUISIÇÃO,Sim
11087,16,16088,2,,,,387624,,CL-140414,,,,,,Doação,4/15/2014,,R$,40,Não,AQUISIÇÃO,Sim
11088,16,16089,2,,,,387625,,CL-140414,,,,,,Doação,4/15/2014,,R$,40,Não,AQUISIÇÃO,Sim
11089,16,16090,2,,,,387626,,CL-140414,,,,,,Doação,4/15/2014,,R$,40,Não,AQUISIÇÃO,Sim
11091,8,16092,2,,,,387562,,RET/04,,,BCA DE LETRAS-FFLCH/USP,,,Retombamento,4/15/2014,,R$,130,Não,AQUISIÇÃO,Sim
11092,8,16093,2,,,,387561,,RET/04,,,BCA DE LETRAS-FFLCH/USP,,,Retombamento,4/15/2014,,R$,130,Não,AQUISIÇÃO,Sim
11093,16,16094,2,,,,387633,,CL-140414,,,,,,Doação,4/15/2014,,R$,40,Não,AQUISIÇÃO,Sim
11094,8,16095,2,,,,387560,,RET/04,,,BCA DE LETRAS-FFLCH/USP,,,Retombamento,4/15/2014,,R$,130,Não,AQUISIÇÃO,Sim
11095,16,16096,2,,,,387627,,CL-140414,,,,,,Doação,4/15/2014,,R$,40,Não,AQUISIÇÃO,Sim
11096,8,16097,2,,,,387557,,RET/04,,,CAD. DE LINGUA E LITER. FRANCESA,,,Retombamento,4/15/2014,,"130,00",130,Não,AQUISIÇÃO,Sim
11097,16,16098,2,,,,387628,,CL-140414,,,,,,Doação,4/15/2014,,R$,130,Não,AQUISIÇÃO,Sim
11098,16,16099,2,,,,387629,,CL-140414,,,,,,Doação,4/15/2014,,R$,40,Não,AQUISIÇÃO,Sim
11099,16,16100,2,,,,387630,,CL-140414,,,,,,Doação,4/15/2014,,R$,130,Não,AQUISIÇÃO,Sim
11100,16,16101,2,,,,387631,,CL-140414,,,,,,Doação,4/15/2014,,R$,40,Não,AQUISIÇÃO,Sim
11101,16,16102,2,,,,387632,,CL-140414,,,,,,Doação,4/15/2014,,R$,40,Não,AQUISIÇÃO,Sim
11102,16,16103,2,,,,387634,,CL-140414,,,,,,Doação,4/15/2014,,R$,40,Não,AQUISIÇÃO,Sim
11103,16,16104,2,,,,387635,,CL-140414,,,,,,Doação,4/15/2014,,R$,40,Não,AQUISIÇÃO,Sim
11104,16,16105,2,,,,387636,,CL-140414,,,,,,Doação,4/15/2014,,R$,40,Não,AQUISIÇÃO,Sim
11105,16,16106,2,,,,387638,,CL-140414,,,,,,Doação,4/15/2014,,R$,40,Não,AQUISIÇÃO,Sim
11106,16,16107,2,,,,387640,,CL-140414,,,,,,Doação,4/15/2014,,R$,40,Não,AQUISIÇÃO,Sim
11107,16,16108,2,,,,387641,,CL-140414,,,,,,Doação,4/15/2014,,R$,40,Não,AQUISIÇÃO,Sim
11108,16,16110,2,,,,387637,,CL-140414,,,,,,Doação,4/16/2014,,R$,40,Não,AQUISIÇÃO,Sim
11109,16,16111,2,,,,387639,,CL-140414,,,,,,Doação,4/16/2014,,R$,40,Não,AQUISIÇÃO,Sim
11110,16,16112,2,,,,387642,,CL-140414,,,UMBERTO MIGNOZZETTI,,,Doação,4/16/2014,,R$,40,Não,AQUISIÇÃO,Sim
11111,16,16113,2,,,,387643,,CL-140414,,,UMBERTO MIGNOZZETTI,,,Doação,4/16/2014,,R$,40,Não,AQUISIÇÃO,Sim
11112,16,16114,2,,,,387644,,CL-140414,,,UMBERTO MIGNOZZETTI,,,Doação,4/16/2014,,R$,40,Não,AQUISIÇÃO,Sim
11113,16,16115,2,,,,387645,,CL-140414,,,,,,Doação,4/16/2014,,R$,40,Não,AQUISIÇÃO,Sim
11114,16,16116,2,,,,387646,,CL-140414,,,,,,Doação,4/16/2014,,R$,40,Não,AQUISIÇÃO,Sim
11115,16,16117,2,,,,387647,,CL-140414,,,,,,Doação,4/16/2014,,R$,130,Não,AQUISIÇÃO,Sim
11116,16,16118,2,,,,387648,,CL-140414,,,,,,Doação,4/16/2014,,R$,130,Não,AQUISIÇÃO,Sim
11117,16,16119,2,,,,387649,,CL-140414,,,,,,Doação,4/16/2014,,R$,130,Não,AQUISIÇÃO,Sim
