"nid","title","field_tipo_evento","field_data_do_evento","field_data_do_evento_fim","field_data_eventos_externos","field_data_eventos_externos_fim","field_campo_extra","field_ministrantes","field_adicionar_maiores_informa_","field_informacoes_essenciais","field_org","field_p_gina","field_contato","field_local","field_mapa_do_local","field_endereco_evento","field_outras_informacoes_evento","field_programa_o_do_evento","field_imagem_de_divulga_o"
"2088","Debate e sessão de autógrafos do livro: Dar corpo ao impossível: O sentido da dialética a partir de Theodor Adorno ","1","19/08/2019 - 19:00","19/08/2019 - 19:00","","","19/AGO/2019 - 19H00","Vladimir Safatle","","<p>Debate com Jorge Almeida, Marilena Chaui, Paulo Arantes e Vladimir Safatle</p>
","","","","Auditório Nicolau Sevcenko - Conjunto Didático de História e Geografia","https://www.google.com.br/maps/place/Pr%C3%A9dio+da+FFLCH+da+USP/@-23.5617891,-46.7273207,17z/data=!4m13!1m7!3m6!1s0x0:0x0!2zMjPCsDMzJzQyLjUiUyA0NsKwNDMnMzAuNSJX!3b1!8m2!3d-23.561794!4d-46.725132!3m4!1s0x0000000000000000:0x2e73e81e1290c8f9!8m2!3d-23.5621629!4d-46.7249226?hl=pt-br","Av. Professor Lineu Prestes, 338 - Butantã, CEP 05508000 - Cidade Universitária, São Paulo-SP","","","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/2019%20convite%20dar%20corpo%20ao%20impossivel.jpg"
"2087","Seminário de Filosofia Intercultural - Por uma história da filosofia a partir da diversidade: uma filosofia da história para além do eurocentrismo","1","27/08/2019 - 14:00","27/08/2019 - 14:00","","","27/AGO/2019 às 14h","","","","","","","Sala 104 B","https://www.google.com.br/maps/place/Pr%C3%A9dio+da+FFLCH+da+USP/@-23.5617891,-46.7273207,17z/data=!4m13!1m7!3m6!1s0x0:0x0!2zMjPCsDMzJzQyLjUiUyA0NsKwNDMnMzAuNSJX!3b1!8m2!3d-23.561794!4d-46.725132!3m4!1s0x0000000000000000:0x2e73e81e1290c8f9!8m2!3d-23.5621629!4d-46.7249226?hl=pt-br","Conjunto Didático de Filosofia e Ciências Sociais, Av. Prof. Luciano Gualberto, 315 - Cidade Universitária, São Paulo - SP","","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/Semin%C3%A1rios%20de%20Filosofia%20Intercultural%20-%2027-08-2019.jpg","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/Semin%C3%A1rios%20de%20Filosofia%20Intercultural%20-%2027-08-2019.jpg"
"2086","Ciclo de Palestras: ECONOMIA POLÍTICA E LIBERALISMO","1","29/08/2019 - 18:00","29/08/2019 - 18:00","","","29/AGO, 26/SET, 22/OUT e 07/NOV/2019","","","<p>[ 29/AGO | 18h ] - <s>Sala 115 </s> - transferido para a SALA 118<br />
Hegel and the Scottish Enlightenment [ Norbert Waszek | Paris VIII ]</p>

<p> </p>

<p>[ 26/SET | 18h ] - Sala 115<br />
Natureza e Artifício: Hume contra Mandeville [ Fernão Salles | UFSCar ]</p>

<p> </p>

<p>[ 22/OUT | 18h ] - Sala 08 - Auditório<br />
The Natural History of Slavery, 1650-1780 [ Andrew Curran | Wesleyan University ]</p>

<p> </p>

<p>[ 07/NOV | 18h ] - Sala 115<br />
Dinheiro: Entre Estado e Auto-Regulação, 1659-1780 [ Maurício Coutinho | Unicamp ]</p>

<p> </p>
","","","","","https://www.google.com.br/maps/place/Pr%C3%A9dio+da+FFLCH+da+USP/@-23.5617891,-46.7273207,17z/data=!4m13!1m7!3m6!1s0x0:0x0!2zMjPCsDMzJzQyLjUiUyA0NsKwNDMnMzAuNSJX!3b1!8m2!3d-23.561794!4d-46.725132!3m4!1s0x0000000000000000:0x2e73e81e1290c8f9!8m2!3d-23.5621629!4d-46.7249226?hl=pt-br","Conjunto Didático de Filosofia e Ciências Sociais, Av. Prof. Luciano Gualberto, 315 - Cidade Universitária, São Paulo - SP","","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/2019_economia_politica_e_liberalismo.pdf","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/2019_economia_politica_e_liberalismo.jpg"
"2082","2019 Interdisciplinary Colloquium on Probability Theory: Philosophy, Physics and Mathematics at Crossroads","1","08/10/2019 - 00:00","10/10/2019 - 00:00","","","October 8-10, 2019","","","<p><strong>Keynote Speakers</strong></p>
<p>Gabriel Landi (USP)<br />
Juliana Bueno (UNICAMP)<br />
Julio Stern (USP)<br />
Michael Titelbaum (UW-Madison)<br />
Pablo Mariconda (USP)<br />
Renato Kinouchi (UFABV)<br />
Richard Dawid (Stockholms Universitet)<br />
 </p>
<p> </p>
","Pablo Mariconda (USP), Osvaldo F. Pessoa Jr. (USP), André Neiva (PUCRS), Diana Taschetto (USP) e Pedro Bravo de Souza (USP)","http://www.iea.usp.br/eventos/coloquio-probabilidade-2019","","","https://www.google.com.br/maps/place/Pr%C3%A9dio+da+FFLCH+da+USP/@-23.5617891,-46.7273207,17z/data=!4m13!1m7!3m6!1s0x0:0x0!2zMjPCsDMzJzQyLjUiUyA0NsKwNDMnMzAuNSJX!3b1!8m2!3d-23.561794!4d-46.725132!3m4!1s0x0000000000000000:0x2e73e81e1290c8f9!8m2!3d-23.5621629!4d-46.7249226?hl=pt-br","Sao Paulo, IAE-USP","","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/2019_Probability_Theory.jpg","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/2019_Probability_Theory.jpg"
"2081","Algernon Sidney: Um pensador republicano do século XVII ","1","08/08/2019 - 18:30","08/08/2019 - 18:30","","","Quinta-feira, 08/AGO/2019 às18h30","[Autor] Luís Falcão[UFF] / [Debatedora] Profa. Eunice Ostrensky [DCP-USP]","","<p> </p>

<p> </p>
","RobertaSoromenhoNicolete[Pós-doutoranda |DF/USP] / Prof.AlbertoRibeiroG.deBarros[DF/USP]","","","Sala 008","https://www.google.com.br/maps/place/Pr%C3%A9dio+da+FFLCH+da+USP/@-23.5617891,-46.7273207,17z/data=!4m13!1m7!3m6!1s0x0:0x0!2zMjPCsDMzJzQyLjUiUyA0NsKwNDMnMzAuNSJX!3b1!8m2!3d-23.561794!4d-46.725132!3m4!1s0x0000000000000000:0x2e73e81e1290c8f9!8m2!3d-23.5621629!4d-46.7249226?hl=pt-br","Conjunto Didático de Filosofia e Ciências Sociais, Av. Prof. Luciano Gualberto, 315 - Cidade Universitária, São Paulo - SP","","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/2019_Algernon_Sidney_debate.pdf","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/2019_Algernon_Sidney_debate.jpg"
"2080","Curso de difusão: Hannah Arendt, leitora de Maquiavel, Montesquieu e Kant","1","23/08/2019 - 19:00","23/08/2019 - 19:00","","","23/AGO A 04/OUT/2019 - das 19h às 21h","Ministrante: Dr.ª Adriana Novaes [Pós-doutoranda do Depto. de Filosofia | usp]","1","","Prof. Dr. Alberto Ribeiro Gonçalves de Barros [Depto. Filosofia usp]","http://sce.fflch.usp.br/node/3140","","Sala 107","https://www.google.com.br/maps/place/Pr%C3%A9dio+da+FFLCH+da+USP/@-23.5617891,-46.7273207,17z/data=!4m13!1m7!3m6!1s0x0:0x0!2zMjPCsDMzJzQyLjUiUyA0NsKwNDMnMzAuNSJX!3b1!8m2!3d-23.561794!4d-46.725132!3m4!1s0x0000000000000000:0x2e73e81e1290c8f9!8m2!3d-23.5621629!4d-46.7249226?hl=pt-br","Conjunto Didático de Filosofia e Ciências Sociais, Av. Prof. Luciano Gualberto, 315 - Cidade Universitária, São Paulo - SP","<p class=""rtejustify"">Apresentaremos a interpretação feita por Hannah Arendt das obras de Maquiavel, Montesquieu e Kant, destacando sua relevância para o pensamento político da autora. Um dos primeiros cursos ministrados por Arendt após a publicação de Origens do Totalitarismo foi “História da Teoria Política”, na Universidade da Califórnia, Berkeley, em 1955. Neste curso, Arendt interpreta as obras de dez autores modernos. A avaliação de suas contribuições no contexto do pós-guerra aprofunda a compreensão do pensamento político da autora e também auxilia o entendimento de nosso contexto, herdeiros que somos das perplexidades decorrentes do colapso moral e dos desafios do século XX. Trataremos da interpretação feita por Arendt das obras de Nicolau Maquiavel, Montesquieu e Immanuel Kant.</p>
","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/difusao/2019_difusao_Adriana_Novaes.pdf, http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/difusao/2019_difusao_Adriana_Novaes_programa.pdf","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/difusao/2019_difusao_Adriana_Novaes.jpg"
"2079","Curso de difusão: A noção de não-ser em Parmênides e em Melisso","1","12/08/2019 - 09:30","12/08/2019 - 09:30","","","12, 14, 19 E 21/AGO/2019","Ministrante: Nicola Stefano Galgano [Pós-doutorando do Depto. de Filosofia | usp]","1","","Prof. Dr. Roberto Bolzani Filho","http://sce.fflch.usp.br/node/3131","","Sala 107","https://www.google.com.br/maps/place/Pr%C3%A9dio+da+FFLCH+da+USP/@-23.5617891,-46.7273207,17z/data=!4m13!1m7!3m6!1s0x0:0x0!2zMjPCsDMzJzQyLjUiUyA0NsKwNDMnMzAuNSJX!3b1!8m2!3d-23.561794!4d-46.725132!3m4!1s0x0000000000000000:0x2e73e81e1290c8f9!8m2!3d-23.5621629!4d-46.7249226?hl=pt-br","Conjunto Didático de Filosofia e Ciências Sociais, Av. Prof. Luciano Gualberto, 315 - Cidade Universitária, São Paulo - SP","<p class=""rtejustify"">O minicurso tem por objetivo apresentar a anti-intuitiva e controversa noção de não-ser em sua estreia histórica, com Parmênides, autêntico inventor dessa noção, e do primeiro dos seus seguidores a continuar a discussão sobre o não-ser. Embora em seu uso corriqueiro o não-ser das coisas se apresente como um conceito normal e amplamente usado, ao pararmos para uma análise mais detida descobrimos que é uma noção extremamente complexa e aporética. Desde Parmênides, essa noção despertou o interesse dos maiores filósofos: de Platão e Aristóteles, na antiguidade, até Heidegger na filosofia contemporânea e mais atualmente nos estudos de lógicas não clássicas. Parmênides parece ter captado a essência de tal noção desde o início. Todavia, a rigorosa aplicação dessa noção na interpretação do mundo o levou à negação do devir, mergulhando a análise na mais anti-intuitiva das visões: um mundo estável e sem mutação. Essa visão de um mundo sem mutação se consolida em Melisso, que todavia apresenta uma noção de não-ser diferente. Essa diferença, aparentemente pequena, se revelará ao longo da história extremamente importante e, de certa forma, deixará o não-ser der Parmênides em Segundo plano. <br />
Ao mesmo tempo, do ponto de vista pedagógico, a análise da noção de não-ser em Parmênides constitui um dos mais clássicos exercícios do estudo filosófico, contribuindo substancialmente à formação da mens philosophica. Este objetivo pedagógico ao lado do objetivo mais propriamente filosófico de olhar de perto a uma das noções básicas da história do pensamento ocidental resultam num passo pequeno – trata-se de um minicurso – mas muito significativo em direção à compreensão dos grande temas filosóficos da humanidade.</p>

<p> </p>
","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/difusao/2019_difusao_nicola_stefano.pdf, http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/difusao/2019_difusao_nicola_stefano_programa.pdf","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/difusao/2019_difusao_nicola_stefano.jpg"
"2074","Jornada de Computação na Filosofia","1","02/08/2019 - 14:00","02/08/2019 - 14:00","","","2 /AGO/ 2019 - 14H00","","1","","","","","Sala 115","https://www.google.com.br/maps/place/Pr%C3%A9dio+da+FFLCH+da+USP/@-23.5617891,-46.7273207,17z/data=!4m13!1m7!3m6!1s0x0:0x0!2zMjPCsDMzJzQyLjUiUyA0NsKwNDMnMzAuNSJX!3b1!8m2!3d-23.561794!4d-46.725132!3m4!1s0x0000000000000000:0x2e73e81e1290c8f9!8m2!3d-23.5621629!4d-46.7249226?hl=pt-br","Conjunto Didático de Filosofia e Ciências Sociais, Av. Prof. Luciano Gualberto, 315 - Cidade Universitária, São Paulo - SP","<div style=""page-break-after: always;""><span style=""display:none""> </span></div>

<p> </p>

<p><big>14:00 h - Osvaldo Pessoa, Rodrigo de Faria, Mariana Jó de Souza e Daniel Carlos de Melo Marcílio (FFLCH, USP): “Simulando histórias contrafactuais da ciência”</big></p>

<p>Descreve-se um projeto em andamento de simular computacionalmente histórias contrafactuais da astronomia, variando-se os tempos entre os diferentes avanços causalmente conectados, de acordo com uma distribuição gama, e mantendo a história factual como média.</p>

<p> </p>

<p><big>15:00 h - Rafael Ventura (Bilkent Üniversitesi, Ancara, Turquia): “Modelos de confiabilidade epistêmica”</big></p>

<p>Trata-se de um projeto sobre modelos computacionais que medem o desempenho e o grau de confiabilidade epistêmica de métodos de inferência. Explicam-se a significância e o funcionamento desses modelos. O foco é em métodos de inferência filogenética no estudo da evolução cultural (especialmente em linguística), mas modelos similares existem também em outros ramos.</p>
","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/2019_jornada_computacao_filosofia.pdf","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/2019_jornada_computacao_filosofia.jpg"
"2073","Curso de difusão: Referência singular e representação espacial","1","15/08/2019 - 09:00","15/08/2019 - 09:00","","","15 /AGO A 14 /NOV/2019 - 9h às 11h","Ministrante: Dr. Carlos Mario Márquez Sosa [Pós-doutorando do Depto. de Filosofia | USP]","1","","","http://sce.fflch.usp.br/node/3187","<a href=""mailto:agenda@usp.br"">agenda@usp.br</a>","Sala 119","https://www.google.com.br/maps/place/Pr%C3%A9dio+da+FFLCH+da+USP/@-23.5617891,-46.7273207,17z/data=!4m13!1m7!3m6!1s0x0:0x0!2zMjPCsDMzJzQyLjUiUyA0NsKwNDMnMzAuNSJX!3b1!8m2!3d-23.561794!4d-46.725132!3m4!1s0x0000000000000000:0x2e73e81e1290c8f9!8m2!3d-23.5621629!4d-46.7249226?hl=pt-br","Conjunto Didático de Filosofia e Ciências Sociais, Av. Prof. Luciano Gualberto, 315 - Cidade Universitária, São Paulo - SP","<div class=""rtejustify"">A literatura atual sobre referência singular está cada vez mais inclinada a uma explicação em termos de índices visuais, arquivos-objeto, arquivos mentais, acquaintance e atenção consciente. Deixando de lado boa parte da evidência que suporta a hipóteses de Treisman e Clark sobre integração de características com base na aplicação de um mapa mestre de localização. Bem como a concepção neo-kantiana de Strawson, Campbell e Evans segundo a qual a representação de aspectos espaciais é crucial para a compreensão de demonstrativos perceptuais. Embora seja verdade que os trabalhos de Treisman e Campbell apontam o papel da atenção consciente em relação à percepção de objetos físicos, é claro que suas explicações fornecem um lugar especial a processos cognitivos de representação espacial. </div>

<div class=""rtejustify"">A partir das anteriores afirmações, surgem algumas preocupações filosóficas relevantes: Quais são as condições requeridas para pensar e perceber objetos? É suficiente fornecer uma explicação em termo\s de índices visuais, arquivos-objeto e arquivos mentais? É necessário apelar para outras noções como: atenção consciente, atividade ambiental, entendimento sensório-motor, sortales ou mapas cognitivos?</div>
","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/2019_difusao_carlos_marquez.pdf","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/2019_difusao_carlos_marquez.jpg"
"2072","Lançamento: CLÍNICA E RESISTÊNCIA: contribuições da racionalidade vitalista de Canguilhem ao campo da saúde","1","06/08/2019 - 17:30","06/08/2019 - 19:00","","","06-AGO-19 - 17h30 ÀS 19h00","","","<p>Mesa de lançamento com a particiapação da autora</p>

<p class=""rteindent1"">Adriana Belmonte Moreira - Terapia Ocupacional/UFPR</p>

<p>e dos professores</p>

<p class=""rteindent1"">Maurício de Carvalho Ramos - Filosofi a/USP<br />
Vladimir Saftle- Filosofi a/USP</p>
","","","","Sala 008","https://www.google.com.br/maps/place/Pr%C3%A9dio+da+FFLCH+da+USP/@-23.5617891,-46.7273207,17z/data=!4m13!1m7!3m6!1s0x0:0x0!2zMjPCsDMzJzQyLjUiUyA0NsKwNDMnMzAuNSJX!3b1!8m2!3d-23.561794!4d-46.725132!3m4!1s0x0000000000000000:0x2e73e81e1290c8f9!8m2!3d-23.5621629!4d-46.7249226?hl=pt-br","Conjunto Didático de Filosofia e Ciências Sociais, Av. Prof. Luciano Gualberto, 315 - Cidade Universitária, São Paulo - SP","","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/CanguilhemLancamento.pdf","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/CanguilhemLancamento.jpg"
"2068","Chamada para publicações: dossiê ""Foucault, Políticas da arqueologia – 50 anos de A arqueologia do Saber (1969)"" dos Cadernos de Ética e Filosofia Política","1","15/09/2019 - 00:00","15/09/2019 - 00:00","","","Prorrogado até 15 / SET / 2019","","1","<p><span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">Os Cadernos de Ética e Filosofia Política informam que o prazo de </span><span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">submissão de artigos para o dossiê ""Foucault, Políticas da arqueologia - </span><span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">50 Anos de Arqueologia do saber (1969)"" foi prorrogado para o dia 15 de </span><span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">setembro de 2019, tendo em vista a publicação do dossiê no mês de </span><span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">dezembro de 2019.</span><br />
<br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">Mais informações em: </span><a href=""http://www.revistas.usp.br/cefp/announcement"" rel=""noreferrer"" style=""color: rgb(17, 85, 204); font-family: Arial, Helvetica, sans-serif; font-size: small;"" target=""_blank"">http://www.revistas.usp.br/cefp/announcement</a></p>
","Carlos Eduardo Ribeiro, Silvio Ricardo Gomes Carneiro e  Victor Fiori Augusto (Organizadores do dossiê)","http://www.revistas.usp.br/cefp/announcement/view/755","<a href=""mailto:politicasdaarqueologia@gmail.com"">politicasdaarqueologia@gmail.com</a>","--","https://www.google.com.br/maps/place/Pr%C3%A9dio+da+FFLCH+da+USP/@-23.5617891,-46.7273207,17z/data=!4m13!1m7!3m6!1s0x0:0x0!2zMjPCsDMzJzQyLjUiUyA0NsKwNDMnMzAuNSJX!3b1!8m2!3d-23.561794!4d-46.725132!3m4!1s0x0000000000000000:0x2e73e81e1290c8f9!8m2!3d-23.5621629!4d-46.7249226?hl=pt-br","","<p class=""rtejustify"">Numa conhecida entrevista de 1974, <em>Prisão e asilos nos mecanismos de poder</em>, Foucault é indagado: “Seus livros tiveram sempre um caráter político sem jamais tratar da política; quais são suas relações com a política?” Sua arguta resposta, como uma reconstrução do que normalmente lhe perguntavam sobre seus trabalhos, replica: “´Bem, é estranho; antes você nunca se ocupou de política e, agora, você se ocupa disso´”. Foucault insistirá, nas respostas seguintes, que certa dignidade política fora dada aos seus trabalhos apenas quando se percebeu que “a fronteira política” tinha se alterado, permitindo que “assuntos como a psiquiatria, a internação, a medicalização da população” se convertessem em “problemas políticos”. Numa sutil insolência, finalmente declara: “eu posso dizer com orgulho que a política é que veio a mim, ou melhor, que colonizou essas áreas, que já eram quase políticas, mas não foram reconhecidas como tais”.  Nos 50 anos da publicação de <em>A arqueologia do saber</em>, os <em>Cadernos de Ética e Filosofia Política</em> dedicam ao pensador o dossiê Foucault, Políticas da arqueologia – 50 anos de <em>A arqueologia do Saber</em> (1969). O propósito é marcar a atualidade do pensamento arqueológico de Foucault desde a perspectiva conforme a qual os objetos iniciais que emergiram de uma política do saber, durante os anos 1960-1970 em Foucault, desdobraram-se eles próprios em diferentes percursos no interior deste variado e peculiar pensamento. Considerando o crescente acesso e publicação dos textos inéditos de Foucault, esta chamada selecionará contribuições (artigos) conforme os seguintes eixos:</p>

<ul>
	<li class=""rtejustify"">Política e arqueologia nos escritos dos anos 1950</li>
	<li class=""rtejustify"">Política e história do presente nos escritos arqueológicos</li>
	<li class=""rtejustify"">A trama arqueológica entre a ética e o discurso</li>
	<li class=""rtejustify"">A recepção do pensamento arqueológico de Foucault no Brasil</li>
</ul>

<p class=""rtejustify"">As propostas enviadas devem indicar no corpo do texto o eixo no qual se enquadram para serem avaliadas.</p>

<p class=""rtejustify""> O prazo de submissão no sistema da revista é 04 de agosto de 2019, tendo em vista a publicação do dossiê no mês de dezembro de 2019.</p>

<p class=""rtejustify"">As normas para a submissão estão disponíveis no link: <a href=""http://www.revistas.usp.br/cefp/about/submissions"" style=""box-sizing: border-box; background-color: transparent; color: rgb(75, 125, 146);"">http://www.revistas.usp.br/cefp/about/submissions</a><br />
 </p>

<p class=""rtejustify"">E-mails para contato: <a href=""mailto:politicasdaarqueologia@gmail.com"">politicasdaarqueologia@gmail.com</a></p>
","",""
"2061","Chamada para trabalhos: SOFiA (Semana de Orientação Filosófica e Acadêmica / Symposium of Philosophical and Academic Advising)","2","","","16/09/2019","20/09/2019","De 16 a 20 de setembro de 2019","","","<p><span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">A organização da </span><strong>SOFiA</strong><span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small""> (</span><em>Semana de Orientação Filosófica e Acadêmica</em><span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small""> / </span><em>Symposium of Philosophical and Academic Advising</em><span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">) convida você para participar da décima terceira edição internacional de nosso evento, o prazo para submissão de artigos foi estendido até dia 28 desse mês. Mais detalhes se encontra abaixo e o edital se encontra em anexo.</span></p>
","UNIFESP","https://www.facebook.com/SofiaUnifesp/","<a href=""mailto:SOFIA.UNIFESP.COMUNICAO@GMAIL.COM"">SOFIA.UNIFESP.COMUNICAO@GMAIL.COM</a>","Universidade Federal de São Paulo, EFLCH.","https://www.google.com.br/maps/place/Pr%C3%A9dio+da+FFLCH+da+USP/@-23.5617891,-46.7273207,17z/data=!4m13!1m7!3m6!1s0x0:0x0!2zMjPCsDMzJzQyLjUiUyA0NsKwNDMnMzAuNSJX!3b1!8m2!3d-23.561794!4d-46.725132!3m4!1s0x0000000000000000:0x2e73e81e1290c8f9!8m2!3d-23.5621629!4d-46.7249226?hl=pt-br","Conjunto Didático de Filosofia e Ciências Sociais, Av. Prof. Luciano Gualberto, 315 - Cidade Universitária, São Paulo - SP","","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/externo/XIII%20SOFiA.%20Call%20For%20Papers.pdf, http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/externo/XIII%20SOFiA.%20Edital%20Comunicac%CC%A7a%CC%83o%20Discente.pdf","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/externo/extended%20deadline%20SOFiA.jpg"
"2041","Divulgação de Projetos de Pesquisa de Mestrado e Doutorado da State University of New York at Albany (USA) e Andamento da Pesquisa em Educação Holística","1","11/07/2019 - 15:00","11/07/2019 - 15:00","","","11 / JUL / 2019 às 15h","Autumn Joy Florencio-Wain [ Doutoranda do Departamento de Educação: Teoria e Prática (SUNY Albany) ]","","","","","","","https://www.google.com.br/maps/place/Pr%C3%A9dio+da+FFLCH+da+USP/@-23.5617891,-46.7273207,17z/data=!4m13!1m7!3m6!1s0x0:0x0!2zMjPCsDMzJzQyLjUiUyA0NsKwNDMnMzAuNSJX!3b1!8m2!3d-23.561794!4d-46.725132!3m4!1s0x0000000000000000:0x2e73e81e1290c8f9!8m2!3d-23.5621629!4d-46.7249226?hl=pt-br","Conjunto Didático de Filosofia e Ciências Sociais, Av. Prof. Luciano Gualberto, 315 - Cidade Universitária, São Paulo - SP","","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/divulga%C3%A7%C3%A3o%20projetos.pdf","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2019/divulga%C3%A7%C3%A3o%20projetos.jpg"
