ID,NOME,TITULO,QUALIFICACAO,DISCIPLINA,UNIVERSIDADE,ORIENTADOR,PAG,PALAVRASCHAVE,ANO,LINK
15,Acácio Tadeu de Camargo Piedade,"Música Ye""Pâ-masa: por uma antropologia da música no alto Rio Negro",Mestrado,Etnologia indígena,Universidade Federal de Santa Catarina,Rafael José de Menezes Bastos,211p.,música - etnologia indígena - povos indígenas do alto rio negro,1/12/1997,http://www.musa.ufsc.br/docs/acacio_dissertacao.pdf
16,Acácio Tadeu de Camargo Piedade,"O canto do Kawoká: música, cosmologia e filosofia entre os Wauja do alto Xingu",Doutorado,Etnologia indígena,Universidade Federal de Santa Catarina,Rafael José de Menezes Bastos,254p.,ritual; música; socialidade; cosmologia,00/02/2004,http://repositorio.ufsc.br/xmlui/bitstream/handle/123456789/86556/200953.pdf?sequence=1
17,Adair Pimentel Palacio,Guato : a lingua dos indios conoeiros do Rio Paraguai,Doutorado,Etnologia indígena,Universidade Estadual de Campinas ,"Aryon Dall'Igna Rodrigues 
",164 p.,"linguística, índios da Am. Do Sul, línguas",31/12/1984,http://repositorio.unicamp.br/handle/REPOSIP/270453
18,Adalberto Alves Viana,Educação escolar indígena: o programa mais educação,,Etnologia indígena,Universidade Federal de Mato Grosso do Sul,Silvana de Jesus Nascimento,,,31/10/2015,
19,Adalberto Luiz Rizzo de Oliveira,Ramkokamekra-Canela : dominação e resistencia de um povo Timbira no centroeste maranhense,Mestrado. ,Etnologia indígena,Universidade Estadual de Campinas ,"Vanessa Rosemary Lea 
",312 p.,"índios da Am. Do Sul, índios Canela - política governamental, índios Timbira",20/03/2002,http://repositorio.unicamp.br/handle/REPOSIP/279490?locale=pt_BR
20,Adão Oliveira,Etnomatemática dos Taliáseri: medidores de tempo e sistema de numeração,Mestrado,Etnologia indígena,Universidade Federal de Pernambuco,Renato Monteiro Athias,147p.,"etnomatemática, taliáseri, clã mali makaliapi, mensuração indígena temporal e numérico, etnociência",05/03/2007,http://repositorio.ufpe.br/bitstream/handle/123456789/748/arquivo4328_1.pdf?sequence=1&isAllowed=y
21,Adelino de Lucena Mendes da Rocha,Guerreiros do Norte: memórias de um tempo histórico para uma etnografia Yawalapíti,Mestrado,Etnologia indígena,Pontifícia Universidade Católica de São Paulo,Carmen Sylvia de Alvarenga Junqueira,117 p.,"Yawalapíti, etno-história, reconstrução, Alto-Xingu",29/08/2014,https://sapientia.pucsp.br/handle/handle/3585
22,Adlene Silva Arantes,"O papel da Colônia Orfanológica Isabel na educação e na definição dos destinos de meninos negros, brancos e índios na Província de Pernambuco (1874-1889)",Mestrado. ,Etnologia indígena,Universidade Federal de Pernambuco,Ana Maria de Oliveira Galvão,233 p.,"ensino agrícola, educação, instituições orfanológicas",26/09/2005,http://repositorio.ufpe.br/handle/123456789/4668
23,Adriana Cristina Repelevicz de Albernaz,"Antropologia, histórias e temporalidades entre os Avá-Guarani de Oco y (PR)
",Doutorado,Etnologia indígena,Universidade Federal de Santa Catarina,Márnio Teixeira-Pinto,421 p.,"índios guarani - História - Paraná, aspectos políticos, aspectos religiosos",00/00/2009,https://repositorio.ufsc.br/handle/123456789/106668
24,Adriana Cristina Repelevicz de Albernaz,"Tradição, mudança e o sentido da história entre os Kaiowá Guarani",Mestrado,Etnologia indígena,Universidade Federal do Paraná,Márnio Teixeira-Pinto,,,,
25,Adriana Fernanda Busso,Ao sabor das águas acreanas: etnografias das oficinas de vídeo do Projeto Vídeo nas Aldeias: Ashaninka e Huni Kuin,Mestrado,Etnologia indígena,Universidade Federal de São Carlos,Clarice Cohn,211 p.,"antropologia social, cineastas indígenas, oficina de vídeo, etnologia, cerâmica Ashaninka, Kene Huni Kuin",00/00/2012,https://repositorio.ufscar.br/bitstream/handle/ufscar/209/4094.pdf?sequence=1&isAllowed=y
26,Adriana Maria Favaro,O acesso da população indígena à universidade através do sistema de cotas raciais,,Etnologia indígena,Universidade Federal de Mato Grosso do Sul,Suelise de Paula Borges de Lima Ferreira ,,,,
27,Adriano Batista Castorino,Trajetórias de estudantes universitários (as) indígenas,Doutorado,Etnologia indígena,Pontifícia Universidade Católica de São Paulo,Rinaldo Sérgio Vieira Arruda,204 p.,"estudantes indígenas, universidade intercultural, política de cotas",00/00/2014,https://sapientia.pucsp.br/handle/handle/3601
28,Agenor Sarraf Pacheco ,"En el corazón de la Amazonia: identidades, saberes e religiosidades no regime das águas marajoaras ",Doutorado,Etnologia indígena,Pontifícia Universidade Católica de São Paulo,Maria Antonieta Antonacci ,354 p.,"história, saberes e poderes locais, culturas fotoindígenas, (in)tolerâncias, religiosidades populares, identidades marajoaras, cultos afro-brasileiros",00/00/2009,http://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=150118
29,Aila Villela Bolzan,Os Kinikinau de Mato Grosso do Sul: a existência de um povo que resiste,Mestrado,Etnologia indígena,Pontifícia Universidade Católica de São Paulo,Dorothea Voegeli Passettii,143 p.,"Chané-Guaná, Kikikinau, Chaco paraguaio, cerâmica, resistência",00/00/2013,https://sapientia.pucsp.br/handle/handle/3484
30,Alberto Groisman,"""Eu venho da floresta"": ecletismo e praxis xamanica daimista no céu do mapia",Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Esther Jean Langdon,299p.,"práticas rituais e sociais, xamanismo, Santo Daime, sistemas cosmológicos indígenas",4/1/1991,http://tede.ufsc.br/teses/PASO0006-D.pdf
31,Alda Lúcia Monteiro de Souza,A história dos Chiquitanos: (re) configurações sociais e territoriais,Mestrado,Etnologia indígena,Universidade de Brasília,José Antonio Vieira Pimenta,126 p.,"Chiquitanos, índios da América do Sul, missões jesuíticas, fronteira nacional",00/00/2009,http://repositorio.unb.br/handle/10482/7293
32,Aldo Litaiff,"""As divinas palavras"": representações étnicas dos Guarani-Mbyá",Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Esther Jean Langdon,233p.,"Guarani-Mbyá, cosmovisão e práticas sociais, representações étnicas, identidade",7/10/1991,http://tede.ufsc.br/teses/PASO0016-D.pdf
33,Aldrin Moura de Figueiredo,"A cidade dos encantados : pajelanças, feitiçarias e religiões afro-brasileiras na Amazonia ; a constituição de um campo de estudo 1870-1950",Mestrado. ,Etnologia indígena,Universidade Estadual de Campinas ,"
Sidney Chalhoub  
",435 p.,"índios da Am. Do Sul, folclore, Amazônia, etnologia, xamanismo, história",15/3/1996,http://repositorio.unicamp.br/jspui/handle/REPOSIP/279426
34,Alencar Miranda Amaral ,Topa e tentativa missionária de inserir o Deus cristão ao contexto Maxakali: análise do contato inter-religioso entre missionários cristãos e índios ,Mestrado. ,Etnologia indígena,Universidade Federal de Juiz de Fora,Volney José Berkenbrock,258 p.,"teologia, mito, contato inter-religioso, missão, Topa, Maxakali, ",00/00/2007,http://www.ufjf.br/maea/files/2009/09/Disserta%C3%A7%C3%A3o-Final.pdf
35,Alessandro Barbosa Lopes,Indígenas em universidades públicas do Rio Grande do Sul: uma perspectiva etnográfica,Mestrado,Etnologia indígena,Universidade Federal de Pelotas,Cláudia Turra Magni,124 p.,Ensino superior; Povos indígenas; Redes; Kaingang; Ações Afirmativas,00/00/2015,http://wp.ufpel.edu.br/ppgant/files/2016/10/LOPES_AB.pdf
36,Alessandro Roberto de Oliveira,Tempo dos netos: abundância e escassez nas redes de discursos ecológicos entre os Wapichana na fronteira Brasil-Guiana,Doutorado,Etnologia indígena,Universidade de Brasília,Stephen Grant Baines,354 p.,"ecologia, Wapixana, etnologia",00/00/2012,http://repositorio.unb.br/handle/10482/12958
37,Alexandra Barbosa da Silva,"Mais além da ""aldeia"": território e redes sociais entre os Guarani de Mato Grosso do Sul ",Doutorado,Etnologia indígena,Universidade Federal do Rio de Janeiro,João Pacheco de Oliveira,256 p.,"Guarani-Kaiowa, Guarani-Ñandéva, núcleos urbanos, ambientes diversos, redes sociais, território",00/00/2007,http://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=84091
38,Alexandre Camera Varella,Substâncias da idolatria: as medicinas que embriagam os índios do México e Peru em histórias dos sécs. XVI e XVII,Mestrado. ,Etnologia indígena,Universidade de São Paulo,Henrique Soares Carneiro,390 p.,"histórica da América, idolatria, medicina, psicoativos, religião",00/00/2008,http://www.teses.usp.br/teses/disponiveis/8/8138/tde-29092008-174959/pt-br.php
39,Alexandre Ferraz Herbetta,"""A idioma"" dos índios kalankó: por uma etnografia da música no alto sertão alagoano",Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Rafael José de Menezes Bastos,204p.,"etnografia da música, Kalankó, alto-sertão alagoano, identidade indígena",00/00/2006,https://www.sapili.org/livros/pt/cp010201.pdf
40,Alexandre Ferraz Herbetta,Peles braiadas: modos de ser Kalankó,Doutorado,Etnologia indígena,Pontifícia Universidade Católica de São Paulo,Lucia Helena Vitali Rangel,339 p.,"Pessoa, índio, identidade, humano, Kalankó",00/00/2011,https://sapientia.pucsp.br/handle/handle/3313
41,Alexandre Machado Namen ,Índios Botocudo: uma reconstituição histórica do contacto,Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Rafael José de Menezes Bastos,103p.,"sistema interétnico, Botocudo (Xokleng), relações sociais, etnicidade",00/00/1991,http://tede.ufsc.br/teses/PASO0015-D.pdf
42,Alexandre Magno de Aquino,"Ën Ga Uyg Ën Tóg (""nós conquistamos nossa terra""): os Kaingang no litoral do Rio Grande do Sul",Mestrado,Etnologia indígena,Universidade de Brasília,Marcela Stockler Coelho de Souza,213 p.,"Kaingang, parentesco, xamanismo, liderança, constituição de aldeias",00/00/2008,http://repositorio.unb.br/handle/10482/2170
43,Alexandre Oliveira Gomes,"Aquilo é uma coisa de índio: objetos, memória e etnicidade entre os Kanindé do Ceará",Mestrado,Etnologia indígena,Universidade Federal de Pernambuco,Renato Monteiro Athias,324p.,"objetos, memória, etnicidade",00/00/2012,http://repositorio.ufpe.br/bitstream/handle/123456789/19110/2012-dissertacao-AlexandreGomes.pdf?sequence=1&isAllowed=y
44,Aline Alcarde Balestra,"Tempos mansos: história, socialidade e transformação no Juruá-Purus indígena",Mestrado,Etnologia indígena,Universidade de Brasília,Luis Abraham Cayón Durán,267 p.,"Tempo, história indígena, Juruá, Purus, Kulina, Kaxinawá, Kanamari, Paumari",00/00/2013,http://repositorio.unb.br/handle/10482/13210
45,Aline de Souza   ,O uno e o diverso: construção nacional e incorporação indígena no pensamento de José Martí,Mestrado. ,Etnologia indígena,Universidade Federal do Espírito Santo,Fábio Muruci dos Santos,224 p.,"América Hispânica, nacionalidades, identidade, incorporação indígena",00/00/2007,http://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=88298
46,Aline Ferreira Oliveira,Yawa-nawa: alianças e pajés na sociedade,Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Esther Jean Langdon,236p.,"espiritualidade indígena, práticas de cura, pajés, xamãs",31/7/2012,http://tede.ufsc.br/teses/PASO0330-D.pdf
47,Aline Fonseca Lubel,Transformações políticas e indígenas: movimento e prefeitura no alto rio Negro,Doutorado,Etnologia indígena,Universidade Federal de São Carlos,Geraldo Luciano Andrello,257 p.,"política indígena, movimento indígena, política partidária, etnologia indígena, antropologia política",00/00/2015,https://repositorio.ufscar.br/handle/ufscar/7663
48,Aline Maira Batistella,Experiências etnográficas de Harald Schultz e Vilma Chiara entre os povos indígenas,Mestrado,Etnologia indígena,Universidade Federal de Mato Grosso ,Sônia Regina Lourenço,,,00/00/2017,
49,Aline Scolfaro Caetano da Silva,Falas Waikhana: conhecimento e transformações no alto rio Negro (rio Papuri),Mestrado,Etnologia indígena,Universidade Federal de São Carlos,Geraldo Luciano Andrello,167 p.,"Noroeste Amazônico, povos Tukano, pira-tapuia, conhecimento, hierarquia, cosmopolítica",00/00/2012,https://repositorio.ufscar.br/handle/ufscar/212
50,Aline Villela de Mello Motta,Tekoa Pyau: uma aldeia Guarani na metrópole,Mestrado,Etnologia indígena,Pontifícia Universidade Católica de São Paulo,Rinaldo Sérgio Vieira Arruda,160 p.,"aldeia guarani, antropologia, tradições, indígenas na cidade",00/00/2007,https://sapientia.pucsp.br/handle/handle/3834
51,Alirio Carvalho Cardoso,"Insubordinados, mas sempre devotos : poder local, acordos e conflitos no antigo Estado do Maranhão (1607-1653)
",Mestrado. ,Etnologia indígena,Universidade Estadual de Campinas ,"Silvia Hunold Lara 
",257 p.,"índios, missionários",00/00/2002,http://repositorio.unicamp.br/jspui/handle/REPOSIP/279445
52,Allen Arthur Jensen,"Sistemas indigenas de classificação de aves : aspectos comparativos, ecologicos e evolutivos",Doutorado,Etnologia indígena,Universidade Estadual de Campinas ,"Keith Spalding Brown Jr.  
",239 p.,"índios da Am. Do Sul, aves, classificação, nomenclatura popular",00/00/1985,http://repositorio.unicamp.br/handle/REPOSIP/316048
53,Almir Diniz de Carvalho Junior,Indios cristãos : a conversão dos gentios na Amazonia portuguesa (1653-1769),Doutorado,Etnologia indígena,Universidade Estadual de Campinas ,"John Manuel Monteiro 
",407 p.,"índios da Am. Do Sul, Amazônia, história",00/00/2005,http://repositorio.unicamp.br/handle/REPOSIP/280085
54,Aloir Pacini,Identidade étnica e território chiquitano na fronteira (Brasil-Bolívia),Doutorado,Etnologia indígena,Universidade Federal do Rio Grande do Sul,Sergio Baptista da Silva,634 p.,Território; Fronteira; Identidade Étnica; Chiquitano,00/00/2012,http://www.lume.ufrgs.br/handle/10183/54128
55,Aluisio Fernandes de Souza,Atividade diaria e (in)atividade fisica na sociedade indigena Terena : Aldeias Buriti e Corrego do Meio,Doutorado,Etnologia indígena,Universidade Estadual de Campinas ,Maria Beatriz Rocha Ferreira,176 p.,"índios terena, atividade física",00/00/2008,http://repositorio.unicamp.br/handle/REPOSIP/275172
56,Álvaro Almeida Rodrigues,Da Cultura da Guerra a Paz Colonial: notícias sobre um Gentio Kayapó,Mestrado,Etnologia indígena,Universidade Federal de Uberlândia,Marcel Mano,112 p.,Sociologia; Índios Kayapó; Índios da América do Sul; Brancos - Relações com os índios,00/00/2013,https://repositorio.ufu.br/handle/123456789/12903
57,Alvaro Augusto Neves Musolino,A estrela do Norte : reserva indigena do Uaça,Mestrado. ,Etnologia indígena,Universidade Estadual de Campinas ,Guillermo Raul Ruben ,242 p.,"identidade, linguagem e cultura, etnologia, antropologia, índios da Am. Do Sul",00/00/1999,http://www.repositorio.unicamp.br/handle/REPOSIP/279626
58,Álvaro Augusto Neves Musolino,"Migração, identidade e cidadania Palikur na fronteira do Oiapoque e litoral sudeste da Guiana Francesa",Doutorado,Etnologia indígena,Universidade de Brasília,Roberto Cardoso de Oliveira,187 p.,"índios Palikur, identidade, migração, nacionalidade, fronteira com o Oiapoque, cidadania",00/00/2006,http://repositorio.unb.br/handle/10482/6632
59,Amanda Cristina Danaga,"Os Tupi, os Mbya e os Outros: um estudo etnográfico da aldeia renascer - Ywyty Guaçu",Mestrado,Etnologia indígena,Universidade Federal de São Carlos,Edmundo Antonio Peggion,134 p.,"etnologia, Tupi-Guarani, índios Guarani, cultura, alteridade",00/00/2012,https://repositorio.ufscar.br/handle/ufscar/211
60,Amanda Cristina Danaga,"Encontros, efeitos e afetos: Discursos de uma liderança Tupi-Guarani",Doutorado,Etnologia indígena,Universidade Federal de São Carlos,Edmundo Antonio Peggion,227 p.,"Tupi-Guarani, liderança, políticas, memórias e discursos",00/00/2016,https://repositorio.ufscar.br/handle/ufscar/8777
61,Amanda Rodrigues Marqui,Tornar-se aluno(a) indígena: a etnografia da escola Guarani Mbya na aldeia Nova Jacundá,Mestrado,Etnologia indígena,Universidade Federal de São Carlos,Clarice Cohn,147 p.,"Guarani Mbya, antropologia da criança, educação escolar",00/00/2012,https://repositorio.ufscar.br/handle/ufscar/221
62,Amédis Germano dos Santos,Poder e violência do discurso,Doutorado,Etnologia indígena,Pontifícia Universidade de São Paulo,Eugênio Trivinho,297 p.,"comunicação, índios, poder, discursos parlamentares, Estado",00/00/2005,https://sapientia.pucsp.br/handle/handle/5125
63,América Larraín,"Artisticidade, etnicidade e política no Caribe colombiano: uma etnografia dos Zenú e seus outros",Doutorado.,Etnologia indígena,Universidade Federal de Santa Catarina,Rafael José de Menezes Bastos,333p.,"sombrero vueltiao, indígenas zenú, caribe colombiano",00/00/2012,http://tede.ufsc.br/teses/PASO0307-T.pdf
64,Amiel Ernenek Mejía Lara,"""Estar na Cultura"": os Tupinambá de Olivença e o desafio de uma definição de indianidade no sul da Bahia",Mestrado,Etnologia indígena,Universidade Estadual de Campinas,John Manuel Monteiro,153 p.,"etnologia, índios Tupinambá, índios da América do Sul, história, movimento indígena",00/00/2012,http://www.repositorio.unicamp.br/handle/REPOSIP/278634
65,Ana Beatriz Miraglia,"Desenvolvimento', 'meio ambiente' e 'cultura': notas críticas sobre o debate socioambiental indigenista amazônico",Mestrado. ,Etnologia indígena,Universidade de São Paulo,Júlio Assis Simões,166 p.,"antropologia, cultura, desenvolvimento, discursividade, meio ambiente",00/00/2007,http://www.teses.usp.br/teses/disponiveis/8/8134/tde-31102007-144400/pt-br.php
66,Ana Carolina Barbosa Pereira,"Que objetividade para a ciência da história? : o índio brasileiro e a revolução francesa à luz da teoria da história, de Rüsen a Hayden White",Mestrado. ,Etnologia indígena,Universidade de Brasília,Estevão C. de Rezende Martins,153 p.,"história, historiografia, Jörn Rüsen",00/00/2007,http://repositorio.unb.br/handle/10482/1076
67,Ana Carolina Estrela da Costa,"Cosmopolíticas, olhar e escuta: experiências cine-xamânicas entre os Maxakali",Mestrado,Etnologia indígena,Universidade Federal de Minas Gerais,Ruben Caixeta de Queiroz,240 p.,Maxakali; Cosmopolítica; Cinema,00/00/2015,http://www.bibliotecadigital.ufmg.br/dspace/handle/1843/BUOS-A4RGZG
68,Ana Carolina Moreira Miola,História Oral e Identidade Cultural: indígenas na Universidade Estadual de Ponta Grossa (UEPG),Mestrado,Etnologia indígena,Universidade Estadual de Ponta Grossa,Alfredo Cesar Antunes,174 p.,Identidade; Indígenas; História Oral; Vestibular dos povos indígenas,00/00/2016,http://tede2.uepg.br/jspui/handle/prefix/258
69,Ana Caroline Amorim Oliveira   ,"Ritos, Corpos e Intermedicalidade: Análise das Práticas de Resguardos de Proteção entre os Ramkokamekra/Canela",Mestrado. ,Etnologia indígena,Universidade Federal de Pernambuco,Renato Athias,134 p.,"Ramkokamekra, índios do Maranhão, saúde indígena, corporeidade, resguardos, intermedicalidade, antropologia",00/00/2008,http://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=154197
70,Ana Caroline Goulart,"Experimentar, contestar e refazer-se: caminhos de sonhos e enfrentamentos percorridos por acadêmicos Kaingang e Guarani na Universidade Estadual de Londrina - PR",Mestrado,Etnologia indígena,Universidade Federal do Paraná,Edilene Coffaci de Lima,193 p.,Universidade; Povos Indígenas; Sonhos; Projetos,00/00/2014,http://acervodigital.ufpr.br/handle/1884/37099
71,Ana Claudia Figueroa,"Amkira Tsabo : um estudo sobre a missão educacional metodista junto ao povo kanamari no contexto do estado democrático de direito brasileiro
",Doutorado,Etnologia indígena,Escola Superior de Teologia,,,"educação e Estado, Igreja Metodista, teologia, história",00/00/2008,http://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=144011
72,Ana Crhistina Vanali,O Botocudo Tibagyano: Análise sobre os registros etnográficos de Telêmaco Borba,Mestrado,Etnologia indígena,Universidade Federal do Paraná,Cecília Helm,,,00/00/2002,
73,Ana Cristina Bochnia Cabral,Os Guarani: o tempo das andanças acabou? Conflitos entre ficar e partir,Mestrado,Etnologia indígena,Universidade Estadual do Oeste do Paraná,Erneldo Schallenberger,200 p.,Território; Conflitos; Mobilidade; Identidade,00/00/2016,http://tede.unioeste.br/handle/tede/2035
74,Ana Cristina Popp da Costa,Há'erami ra'ema jaiko: vamos levando a vida desse jeito: relatos de experiências etnográficas junto a uma família mbya-guarani,Mestrado,Etnologia indígena,Universidade Federal do Rio Grande do Sul,Sergio Baptista da Silva,132 p.,Etnologia Indígena; Mbya-Guarani; Etnografia,00/00/2011,http://www.lume.ufrgs.br/handle/10183/77143
75,Ana Cristina Santos Alvarenga,Título:  Música na cosmologia maxakali: Um olhar sobre um ritual do Xunim - uma partitura sonoro-mítico-visual ,Mestrado. ,Etnologia indígena,Universidade Federal de Minas Gerais,Rosangela Pereira de Tugny,132 p.,"índios Maxakali, música indígena",00/00/2007,http://vulcano.grude.ufmg.br/dspace/handle/1843/ECOA-7KGNTL
76,Ana Elisa de Castro Freitas,"Mrur Jykre - a cultura do cipó: territorialidade Kaingang na margem leste do Lago Guaíba, Porto Alegre, RS",Doutorado,Etnologia indígena,Universidade Federal do Rio Grande do Sul,Cornelia Eckert,464 p.,Etnologia Indígena; Kaingang; Jê; Etnoecologia; Cipó; Cidade; Porto Alegre; Lago Guaíba,00/00/2005,http://www.lume.ufrgs.br/handle/10183/14922
77,Ana Elisa Santiago,"Entre papéis, pessoas e perspectivas: etnografia da gestão da educação escolar indígena em Altamira - PA",Mestrado,Etnologia indígena,Universidade Federal de São Carlos,Clarice Cohn,135 p.,"educação escolar indígena, gestão, burocracia, etnologia, antropologia do Estado",00/00/2014,https://repositorio.ufscar.br/handle/ufscar/238
78,Ana Flávia Moreira Santos,"Conflitos fundiários, territorialização e disputas classificatórias :Autazes (AM), primeiras décadas do século XX",Doutorado,Etnologia indígena,Universidade Federal do Rio de Janeiro,João Pacheco de Oliveira,415 p.,"território, conflitos por terra, latifundiários",00/00/2009,
79,Ana Laura Loureiro Ferreira,Para outra geração : um estudo de Antropologia visual sobre crianças entre os Tingüi-Botó (AL),Mestrado,Etnologia indígena,Universidade Federal de Pernambuco,Sílvia A. C. Martins,174p.,"antropologia visual, crianças indígenas, geração",00/00/2010,http://repositorio.ufpe.br/bitstream/handle/123456789/979/arquivo657_1.pdf?sequence=1&isAllowed=y
80,Ana Luiza Moraes Soares,Os Indígenas na Cidade de Manaus (1870-1910): Entre a Invisibilidade e a Assimilação,Mestrado,Etnologia indígena,Universidade Federal do Amazonas,Almir Diniz de Carvalho Júnior,98p.,"invisibilização, urbanização, protagonismo, etnicidade",00/00/2014,http://www.ppgas.ufam.edu.br/attachments/article/9/Disserta%C3%A7%C3%A3o%20-%20Ana%20Luiza%20Soares%20-%20Os%20ind%C3%ADgenas%20na%20cidade....pdf
81,Ana Maria Antunes Machado,"""Lutmamu"": relações interétnicas e protagonismo feminino no Papiu no contexto de um conflito intercomunitário Yanomami",Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,José Antônio Kelly Luciani,232p.,"Yanomami, guerra, relações de genêro, relações interétnicas",00/00/2015,http://tede.ufsc.br/teses/PASO0374-D.pdf
