"tid","SGA_DESCRITOR","Codi_Descritor","name","corrigido","parent"
"281","84","038.2","ENERGIA NUCLEAR","38.2","279"
"282","85","038.3","ENERGIA TERMOELÉTRICA","38.3","279"
"283","86","038.4","ENERGIA EÓLICA","38.4","279"
"284","87","39","ESCRAVIDÃO","39",""
"285","88","40","ESPORTE","40",""
"286","89","040.1","FUTEBOL","40.1","285"
"287","90","040.2","CORRIDA DE TORA","40.2","285"
"288","91","41","ÉTICA","41",""
"289","92","42","ETNICIDADE","42",""
"290","93","042.1","CONFLITO INTERÉTNICO","42.1","289"
"291","94","042.2","CONTATO INTERÉTNICO","42.2","289"
"292","95","042.3","MISCIGENAÇÃO","42.3","289"
"293","98","43","ETNOBOTÂNICA","43",""
"294","99","44","ETNOMUSICOLOGIA","44",""
"295","100","45","FACISMO - NEOFACISMO","45",""
"296","101","46","FAMÍLIA","46",""
"297","102","47","FESTA- FESTA POPULAR","47",""
"298","103","48","FILOSOFIA","48",""
"299","104","49","FOME","49",""
"300","105","047.1","CARNAVAL","47.1","297"
"301","106","047.2","BUMBA MEU BOI","47.2","297"
"302","107","047.3","FOLIA DE REIS","47.3","297"
"303","108","047.4","CAVALHADA","47.4","297"
"304","109","50","FOTOGRAFIA","50",""
"305","110","51","FUMO - TABAGISMO","51",""
"306","111","52","GREVE","52",""
"307","112","53","GUERRA","53",""
"308","113","053.1","GUERRA CIVIL","53.1","307"
"309","114","54","HABITAÇÃO - MORADIA","54",""
"310","115","55","HIGIENE PESSOAL","55",""
"311","116","56","HISTÓRIA","56",""
"312","117","056.1","HISTÓRIA DO BRASIL","56.1","311"
"313","118","056.2","HISTÓRIA GERAL","56.2","311"
"314","119","57","HOMEM","57",""
"315","120","58","IDENTIDADE","58",""
"316","121","59","INDEPENDÊNCIA","59",""
"317","122","60","ÍNDIO","60",""
"318","123","060.1","ÍNDIO AMÉRICA CENTRAL","60.1","317"
"319","126","61","INDUMENTÁRIA","61",""
"320","127","62","INDUSTRIALIZAÇÃO","62",""
"321","128","63","JUDEU","63",""
"322","129","64","LAZER","64",""
"323","130","65","LIBERDADE","65",""
"324","131","66","LINGUAGEM","66",""
"325","132","67","LITERATURA","67",""
"326","133","067.1","CONTO","67.1","325"
"327","134","067.2","CORDEL","67.2","325"
"328","135","067.3","CRÔNICA","67.3","325"
"329","136","067.4","POESIA","67.4","325"
"330","137","067.5","ROMANCE","67.5","325"
"331","138","68","MATÉRIA PRIMA","68",""
"332","139","69","MEIO AMBIENTE - ECOLOGIA","69",""
"333","140","069.1","DESMATAMENTO","69.1","332"
"334","141","069.2","EXTRATIVISMO","69.2","332"
"335","142","069.2.1","EXTRATIVISMO VEGETAL","69.2.1","334"
"336","143","069.2.2","EXTRATIVISMO MINERAL - GARIMPO","69.2.2","334"
"337","144","069.2.1.1","MADEIRA","69.2.1.1","335"
"338","145","069.2.1.2","SERINGUEIRA","69.2.1.2","335"
"339","146","069.2.2.2","OURO","69.2.2.2","336"
"340","147","069.2.2.3","DIAMANTE","69.2.2.3","336"
"341","148","069.3","FLORESTA","69.3","332"
"342","149","069.4","POLUIÇÃO","69.4","332"
"343","150","069.5","RECURSOS NATURAIS","69.5","332"
"344","151","069.5.1","RIO - MEIO AMBIENTE","69.5.1","343"
"345","152","069.6","VEGETAÇÃO","69.6","332"
"346","153","70","MEMÓRIA","70",""
"347","154","71","MÍDIA - IMPRENSA","71",""
"348","155","071.1","JORNAL","71.1","347"
"349","156","071.2","REVISTA - PERIÓDICO","71.2","347"
"350","157","071.3","INTERNET","71.3","347"
"351","158","071.4","RÁDIO","71.4","347"
"352","159","071.5","TELEVISÃO - TV","71.5","347"
"353","160","72","POBREZA - MISÉRIA","72",""
"354","161","73","MITOLOGIA - COSMOLOGIA","73",""
"355","162","74","MODA","74",""
"356","163","75","MODERNISMO","75",""
"357","164","76","MODERNIDADE","76",""
"358","166","78","MORTE","78",""
"359","167","79","MOVIMENTOS MIGRATÓRIOS","79",""
"360","168","079.1","EMIGRAÇÃO","79.1","359"
"361","169","079.2","IMIGRAÇÃO","79.2","359"
"362","170","079.3","EXÍLIO","79.3","359"
"363","171","079.4","MIGRAÇÃO","79.4","359"
"364","172","80","MULHER","80",""
"365","173","080.1","MATERNIDADE","80.1","364"
"366","174","080.2","PARTO","80.2","364"
"367","175","080.3","FEMINISMO","80.3","364"
"368","176","81","MUSEU","81",""
"369","177","82","MÚSICA","82",""
"370","178","082.1","APRENDIZAGEM MUSICAL","82.1","369"
"371","179","082.3","CONFECÇÃO INSTRUMENTO MUSICAL","82.3","369"
"372","180","082.4","ESTILO MUSICAL","82.4","369"
"373","181","082.5","INSTRUMENTO MUSICAL","82.5","369"
"374","182","082.4.2","SAMBA","82.4.2","372"
"375","184","85","NACIONALISMO","85",""
"376","185","84","NAZISMO - NEONAZISMO","84",""
"377","186","86","NEGRO","86",""
"378","187","086.1","QUILOMBO","86.1","377"
"379","188","87","ONG - ORGANIZAÇÃO NÃO GOVERNAMENTAL","87",""
"380","189","88","PATRIMÔNIO","88",""
"381","190","89","PERSONALIDADES","89",""
"382","761","0.40.5","CRÍQUETE","0.40.5",""
"383","192","089.2","CHICO MENDES","89.2","381"
"384","193","089.3","MARECHAL CÂNDIDO RONDON","89.3","381"
"385","194","089.4","MAO TSE TUNG","89.4","381"
"386","195","089.5","GETÚLIO VARGAS","89.5","381"
"387","196","90","PINTURA CORPORAL","90",""
"388","197","090.1","MAQUIAGEM","90.1","387"
"389","198","090.3","TATUAGEM","90.3","387"
"390","199","91","PODER","91",""
"391","200","92","POLÍTICA","92",""
"392","201","092.1","POLÍTICA AGRÁRIA","92.1","391"
"393","202","092.2","POLÍTICA INDIGENISTA","92.2","391"
"394","203","092.1.2","INCRA","92.1.2","392"
"395","204","092.1.3","UDR - UNIÃO DEMOCRÁTICA RURALISTA","92.1.3","392"
"396","205","092.1.1","CPT-COMISSÃO PASTORAL DA TERRA","92.1.1","392"
"397","206","092.2.1","SPI - SERVIÇO DE PROTEÇÃO AO ÍNDIO","92.2.1","393"
"398","207","092.2.2","FUNAI","92.2.2","393"
"399","208","092.2.3","COMISSÃO DE FRONTEIRAS E LIMITES","92.2.3","393"
"400","209","092.3","POLÍTICA INTERNACIONAL","92.3","391"
"401","210","092.3.1","GLOBALIZAÇÃO","92.3.1","400"
"402","211","092.3.2","ONU - ORGANIZAÇÃO DAS NAÇÕES UNIDAS","92.3.2","400"
"403","212","092.4","POLÍTICA NACIONAL","92.4","391"
"404","213","092.5","ATIVIDADE POLÍTICA","92.5","391"
"405","214","092.5.1","PASSEATA","92.5.1","404"
"406","215","092.5.2","PROTESTO","92.5.2","404"
"407","216","092.5.3","COMÍCIO","92.5.3","404"
"408","217","93","PROPAGANDA - PUBLICIDADE","93",""
"409","218","94","PRISÃO - SISTEMA PENITENCIÁRIO","94",""
"410","219","95","PROSTITUIÇÃO","95",""
"411","220","96","PSICOLOGIA","96",""
"412","221","97","RELIGIÃO","97",""
"413","222","097.1","CRISTIANISMO","97.1","412"
"414","223","097.2","ISLAMISMO","97.2","412"
"415","224","097.3","JUDAISMO","97.3","412"
"416","225","097.4","BUDISMO","97.4","412"
"417","226","097.5","HINDUISMO","97.5","412"
"418","227","097.6","SINCRETISMO","97.6","412"
"419","228","097.7","RELIGIÕES AFRO-BRASILEIRAS","97.7","412"
"420","229","097.1.1","CATOLICISMO","97.1.1","413"
"421","230","097.1.2","PROTESTANTISMO","97.1.2","413"
"422","231","097.8","CATEQUIZAÇÃO","97.8","412"
"423","232","097.9","MISSÃO RELIGIOSA","97.9","412"
"424","233","097.9.1","FRANCISCANOS","97.9.1","423"
"425","234","097.9.2","DOMINICANOS","97.9.2","423"
"426","235","097.9.3","JESUÍTAS","97.9.3","423"
"427","236","097.9.4","SALESIANOS","97.9.4","423"
"428","237","98","NOMES","98",""
"429","238","99","RETRATO","99",""
"430","239","100","RITUAL","100",""
"431","240","100.1","CASAMENTO","100.1","430"
"432","241","100.2","RITUAL DE INICIAÇÃO","100.2","430"
"433","242","100.3","RITUAL FUNERÁRIO","100.3","430"
"434","243","100.4","RITUAL DE NOMINAÇÃO","100.4","430"
"435","244","100.5","RITUAL DE NASCIMENTO","100.5","430"
"436","245","100.6","MUTILAÇÃO RITUAL","100.6","430"
"437","246","100.7","DEPILAÇÃO RITUAL","100.7","430"
"438","247","100.8","CULTO AOS MORTOS","100.8","430"
"439","248","101","SAÚDE - DOENÇA","101",""
"440","249","101.1","MEDICINA","101.1","439"
"441","250","101.2","ODONTOLOGIA","101.2","439"
"442","251","101.3","POSTO DE SAÚDE","101.3","439"
"443","252","101.4","POLÍTICA SANITARISTA","101.4","439"
"444","253","101.5","EPIDEMIA","101.5","439"
"445","254","101.6","TRATAMENTO DE SAÚDE","101.6","439"
"446","255","102","SEGREGAÇÃO","102",""
"447","256","102.1","APARTHEID","102.1","446"
"448","257","103","SEXUALIDADE - SEXO","103",""
"449","258","104","SINDICATO - SINDICALISMO","104",""
"450","259","105","SOBRENATURAL","105",""
"451","260","106","SOCIOLOGIA","106",""
"452","261","107","SUBSISTÊNCIA - SUSTENTO","107",""
"453","262","107.1","AGRICULTURA","107.1","452"
"454","263","107.2","CAÇA","107.2","452"
"455","264","107.3","COLETA","107.3","452"
"456","265","107.4","PECUÁRIA","107.4","452"
"457","266","107.5","PESCA","107.5","452"
"458","267","107.6","OBTENÇÃO DE ÁGUA","107.6","452"
"459","268","108","TEATRO","108",""
"460","269","109","TEOLOGIA","109",""
"461","270","110","TRABALHO","110",""
"462","271","110.1","TRABALHADOR URBANO","110.1","461"
"463","272","110.2","TRABALHADOR RURAL - CAMPONÊS","110.2","461"
"464","273","110.1.1","OPERÁRIO","110.1.1","462"
"465","274","110.1.2","CAMELÔ - AMBULANTE","110.1.2","462"
"466","275","110.2.1","BÓIA FRIA","110.2.1","463"
"467","280","111","TRANSPORTE","111",""
"468","281","112","TURISMO","112",""
"469","282","113","UTENSÍLIO","113",""
"470","283","114","VELHICE - VELHO","114",""
"471","284","115","VIOLÊNCIA","115",""
"472","285","117","XAMANISMO","117",""
"473","286","115.1","CRIMINALIDADE","115.1","471"
"474","287","111.1","TRANSPORTE AÉREO","111.1","467"
"475","764","","","",""
"476","295","118","LOCALIDADE","118",""
"477","296","118.1","AFRICA","118.1","476"
"478","299","119","PAÍS","119",""
"479","302","119.1","ALEMANHA","119.1","478"
"480","305","119.4","BRASIL","119.4","478"
"481","308","119.3","BELGICA","119.3","478"
"482","309","119.2","ARGELIA","119.2","478"
"483","310","119.5","CHINA","119.5","478"
"484","311","119.6","COLÔMBIA","119.6","478"
"485","312","119.8","ESPANHA","119.8","478"
"486","313","118.2","AMAZÔNIA","118.2","476"
"487","314","119.9","ESTADOS UNIDOS - EUA - USA","119.9","478"
"488","315","119.7","AUSTRIA","119.7","478"
"489","316","119.11","HOLANDA","119.11","478"
"490","317","119.13","INGLATERRA","119.13","478"
"491","765","","GÊNERO","",""
"492","319","119.10.2","GUIANA FRANCESA","119.10.2","519"
"493","320","119.10.1","PARIS","119.10.1","519"
"494","766","135","GÊNERO","135",""
"495","322","119.4.2","ALAGOAS","119.4.2","480"
"496","323","119.4.3","AMAPÁ","119.4.3","480"
"497","324","119.4.4","AMAZONAS","119.4.4","480"
"498","325","119.4.5","BAHIA","119.4.5","480"
"499","326","119.4.3.1","MACAPÁ","119.4.3.1","496"
"500","327","119.14","LÍBANO","119.14","478"
"501","328","119.15","VENEZUELA","119.15","478"
"502","329","119.16","RÚSSIA","119.16","478"
"503","330","119.17.1","HIROSHIMA","119.17.1","504"
"504","331","119.17","JAPÃO","119.17","478"
"505","332","119.4.6","CEARÁ","119.4.6","480"
"506","333","119.4.7","DISTRITO FEDERAL","119.4.7","480"
"507","334","115.2","ESTUPRO","115.2","471"
"508","335","069.5.2","IGARAPÉ","69.5.2","343"
"509","336","120","VIAGEM","120",""
"510","338","119.18","NOVA ZELÂNDIA","119.18","478"
"511","339","118.4","POLINÉSIA","118.4","476"
"512","340","119.19","IRAQUE","119.19","478"
"513","341","119.20","GANA","119.20","478"
"514","342","119.21","MARROCOS","119.21","478"
"515","343","119.22","SENEGAL","119.22","478"
"516","344","119.23","SIBÉRIA","119.23","478"
"517","345","119.24","OUZBERQUISTÃO","119.24","478"
"518","346","119.25","UNIÃO SOVIÉTICA","119.25","478"
"519","347","119.10","FRANÇA","119.10","478"
"520","348","119.26","MONGÓLIA","119.26","478"
"521","349","119.27","MALAWI","119.27","478"
"522","350","119.28","CIJORDÂNIA","119.28","478"
"523","351","119.29","TUNÍSIA","119.29","478"
"524","352","119.31","TURQUIA","119.31","478"
"525","353","119.30","IRÃ","119.30","478"
"526","354","119.32","ISRAEL","119.32","478"
"527","355","119.33","ETIÓPIA","119.33","478"
"528","356","119.34","AZERBAIJÃO","119.34","478"
"529","357","118.3","CÁUCASO","118.3","476"
"530","358","119.35","INDIA","119.35","478"
"531","359","119.36","AUSTRÁLIA","119.36","478"
"532","360","119.37","CAMARÕES","119.37","478"
"533","361","053.2","GUERRA MILITAR","53.2","307"
"534","363","054.1","FAVELA","54.1","309"
"535","364","089.6","MARTIN LUTHER KING","89.6","381"
"536","365","089.7","PELÉ","89.7","381"
"537","366","119.4.8","ESPÍRITO SANTO","119.4.8","480"
"538","368","089.8","ZUMBI","89.8","381"
"539","369","008.1.5","PINTURA","8.1.5","225"
"540","370","054.2","HABITANTES DE RUA - SEM TETO - MENDIGO","54.2","309"
"541","371","082.2","CANTO","82.2","369"
"542","372","082.4.1","BLUES","82.4.1","372"
"543","373","090.2","PIERCING","90.2","387"
"544","374","053.2.1","PRIMEIRA GUERRA MUNDIAL","53.2.1","533"
"545","375","053.2.2","SEGUNDA GUERRA MUNDIAL","53.2.2","533"
"546","376","060.2","ÍNDIO AMÉRICA DO NORTE","60.2","317"
"547","377","060.3","ÍNDIO AMÉRICA DO SUL","60.3","317"
"548","378","119.4.9","GOIÁS","119.4.9","480"
"549","379","089.9","ALEIJADINHO","89.9","381"
"550","380","071.5.1","NOVELA - TELENOVELA","71.5.1","352"
"551","381","036.1","ECONOMIA INFORMAL","36.1","277"
"552","382","036.2","INDÚSTRIA CULTURAL","36.2","277"
"553","383","089.10","TIRADENTES","89.10","381"
"554","384","058.1","DISCRIMINAÇÃO - XENOFOBIA","58.1","315"
"555","385","033.1","COMPORTAMENTO ANIMAL","33.1","274"
"556","386","058.1.1","RACISMO","58.1.1","554"
"557","388","77","NOMINAÇÃO","77",""
"558","389","078.1","PENA DE MORTE","78.1","358"
"559","390","103.1","HOMOSSEXUALISMO","103.1","448"
"560","391","040.3","RUGBY","40.3","285"
"561","392","066.1","ESCRITA","66.1","324"
"562","393","066.2","LINGUAGEM AUDIOVISUAL","66.2","324"
"563","394","066.3","LINGUAGEM SONORA","66.3","324"
"564","395","066.4","LINGUAGEM VISUAL - IMAGEM","66.4","324"
"565","396","066.5","LINGUÍSTICA","66.5","324"
"566","767","135","GÊNERO","135",""
"567","398","111.2","TRANSPORTE FERROVIÁRIO","111.2","467"
"568","399","111.3","TRANSPORTE FLUVIAL","111.3","467"
"569","400","111.4","TRANSPORTE RODOVIÁRIO","111.4","467"
"570","401","115.3","POLÍCIA","115.3","471"
"571","402","056.1.1","BRASIL COLÔNIA","56.1.1","312"
"572","403","056.1.2","BRASIL IMPÉRIO","56.1.2","312"
"573","404","056.1.3","BRASIL REPÚBLICA","56.1.3","312"
"574","405","056.2.1","IDADE ANTIGA - ANTIGUIDADE","56.2.1","313"
"575","406","056.2.2","IDADE MÉDIA","56.2.2","313"
"576","407","056.2.3","IDADE MODERNA","56.2.3","313"
"577","408","056.2.4","IDADE CONTEMPORÂNEA","56.2.4","313"
"578","409","056.2.4.1","REVOLUÇÃO FRANCESA","56.2.4.1","577"
"579","410","056.2.4.2","REVOLUÇÃO INDUSTRIAL","56.2.4.2","577"
"580","411","118.5","PANTANAL","118.5","476"
"581","412","119.4.10","MARANHÃO","119.4.10","480"
"582","413","119.4.11","MATO GROSSO","119.4.11","480"
"583","414","119.4.12","MATO GROSSO DO SUL","119.4.12","480"
"584","415","119.4.13","MINAS GERAIS","119.4.13","480"
"585","416","119.4.14","PARÁ","119.4.14","480"
"586","417","119.4.15","PARAÍBA","119.4.15","480"
"587","418","119.4.16","PARANÁ","119.4.16","480"
"588","419","119.4.17","PERNAMBUCO","119.4.17","480"
"589","420","119.4.18","PIAUÍ","119.4.18","480"
"590","421","119.4.19","RIO DE JANEIRO","119.4.19","480"
"591","422","119.4.20","RIO GRANDE DO NORTE","119.4.20","480"
"592","423","119.4.21","RIO GRANDE DO SUL","119.4.21","480"
"593","424","119.4.22","RONDÔNIA","119.4.22","480"
"594","425","119.4.23","RORAIMA","119.4.23","480"
"595","426","119.4.24","SANTA CATARINA","119.4.24","480"
"596","427","119.4.25","SÃO PAULO","119.4.25","480"
"597","428","119.4.25.1","SÃO PAULO","119.4.25.1","596"
"598","429","119.4.26","SERGIPE","119.4.26","480"
"599","430","119.4.27","TOCANTINS","119.4.27","480"
"600","431","119.4.21.1","PORTO ALEGRE","119.4.21.1","592"
"601","432","118.6","ANTÁRTICA","118.6","476"
"602","433","092.6","SISTEMA POLÍTICO","92.6","391"
"603","434","092.5.4","REVOLUÇÃO","92.5.4","404"
"604","435","092.6.1","MONARQUIA","92.6.1","602"
"605","436","092.6.2","REPÚBLICA","92.6.2","602"
"606","439","060.3.1","ÍNDIO BRASIL","60.3.1","547"
"607","440","119.38","NAMÍBIA","119.38","478"
"608","441","121","TRÁFICO","121",""
"609","442","121.1","DROGAS - TÓXICO","121.1","608"
"610","443","121.2","TRÁFICO NEGREIRO","121.2","608"
"611","444","089.11","JORGE AMADO","89.11","381"
"612","445","035.1","DOGON","35.1","276"
"613","446","060.3.1.1","KARAJÁ - CARAJÁ - JAVAÉ","60.3.1.1","606"
"614","447","060.3.1.2","BANIWA","60.3.1.2","606"
"615","448","089.12","TANCREDO NEVES","89.12","381"
"616","449","092.5.5","TERRORISMO","92.5.5","404"
"617","450","118.14.1","ORIENTE MÉDIO","118.14.1","753"
"618","451","060.2.1","ÍNDIO ESTADOS UNIDOS","60.2.1","546"
"619","452","060.3.1.4","KRENAK","60.3.1.4","606"
"620","454","060.3.1.5","YANOMAMI","60.3.1.5","606"
"621","455","060.3.1.6","ASHANINKA","60.3.1.6","606"
"622","456","060.3.1.7","PANKARARU","60.3.1.7","606"
"623","457","060.3.1.8","KAINGANG","60.3.1.8","606"
"624","458","060.3.1.81","MAXACALI","60.3.1.81","606"
"625","459","060.3.1.10","BARÉ","60.3.1.10","606"
"626","460","060.3.1.11","TARIANO","60.3.1.11","606"
"627","461","060.3.1.13","KRAHÔ - CRAÔ - KRAÔ","60.3.1.13","606"
"628","462","060.3.1.14","KAIOWÁ","60.3.1.14","606"
"629","463","060.3.1.12","XAVANTE","60.3.1.12","606"
"630","464","060.3.1.15","PARAKANÃ - PARACANÃ","60.3.1.15","606"
"631","465","060.3.1.16","SURUÍ","60.3.1.16","606"
"632","466","060.3.1.17","CINTA LARGA","60.3.1.17","606"
"633","467","060.3.1.17","TUPARI","60.3.1.17","606"
"634","468","060.3.1.18","KANOE","60.3.1.18","606"
"635","469","060.3.1.20","ZOÉ","60.3.1.20","606"
"636","470","060.3.1.19","URU-EU-WAU-WAU - URUEU-UAU-UAU","60.3.1.19","606"
"637","471","060.3.1.22","BORORO","60.3.1.22","606"
"638","472","060.3.1.21","GAVIÃO","60.3.1.21","606"
"639","474","83","LIDERANÇA","83",""
"640","475","042.4","MUDANÇA CULTURAL","42.4","289"
"641","476","069.7","DESENVOLVIMENTO SUSTENTÁVEL","69.7","332"
"642","477","111.3.1","NAVIO","111.3.1","568"
"643","478","118.2.1","NOROESTE AMAZÔNICO","118.2.1","486"
"644","479","118.2.11","NORDESTE","118.2.11","486"
"645","480","082.5.1","VIOLA CAIPIRA","82.5.1","373"
"646","481","097.7.1","CANDOMBLÉ","97.7.1","419"
"647","482","097.7.2","UMBANDA","97.7.2","419"
"648","483","097.1.3","ESPIRITISMO - KARDECISMO","97.1.3","413"
"649","484","119.4.10.1","SÃO LUÍS","119.4.10.1","581"
"650","485","119.39","NIGERIA","119.39","478"
"651","486","060.3.1.23","WAIÃPI - WAYAMPI - OYAMPI -","60.3.1.23","606"
"652","487","119.40","UCRÂNIA","119.40","478"
"653","488","119.41","CHILE","119.41","478"
"654","489","056.3","PRÉ-HISTÓRIA","56.3","311"
"655","490","060.3.1.24","NAMBIQUARA","60.3.1.24","606"
"656","491","118.8","XINGU","118.8","476"
"657","492","060.3.1.25","KUIKURO - KUIKURU","60.3.1.25","606"
"658","493","060.3.1.26","TXUKARRAMÃE","60.3.1.26","606"
"659","494","060.3.1.27","WAURÁ","60.3.1.27","606"
"660","495","060.3.1.28","IAWALAPITI","60.3.1.28","606"
"661","496","060.3.1.29","KRENAKORE - PANARÁ - KRENHAKORE","60.3.1.29","606"
"662","497","060.3.1.30","KAMAYURÁ - CAMAIURÁ","60.3.1.30","606"
"663","498","100.9","KWARUP - KUARUP","100.9","430"
"664","499","119.42","ANGOLA","119.42","478"
"665","500","047.5","CONGADA","47.5","297"
"666","501","119.43","ÁFRICA DO SUL","119.43","478"
"667","502","056.2.3.1","RENASCIMENTO","56.2.3.1","576"
"668","503","119.44","GRÉCIA","119.44","478"
"669","504","035.2","MÚILA","35.2","276"
"670","505","035.3","MUCUBAUS","35.3","276"
"671","506","035.4","SHANGAAN","35.4","276"
"672","507","035.5","HAWSA","35.5","276"
"673","508","060.3.1.31","MUNDURUKU - MUNDURUCU","60.3.1.31","606"
"674","509","060.3.1.32","WAI WAI - WAIWAI","60.3.1.32","606"
"675","510","060.3.1.33","WAYANA","60.3.1.33","606"
"676","511","060.3.1.34","APALAI - APARAI","60.3.1.34","606"
"677","512","060.3.1.35","PIRAHÃ","60.3.1.35","606"
"678","513","060.3.1.36","KIRIRI","60.3.1.36","606"
"679","514","089.13","MARGARET MEAD","89.13","381"
"680","515","060.3.2","ÍNDIO VENEZUELA","60.3.2","547"
"681","516","060.3.2.1","GUAHIBO","60.3.2.1","680"
"682","517","060.3.2.2","MAKIRITARI","60.3.2.2","680"
"683","518","060.3.2.3","PIAROA","60.3.2.3","680"
"684","519","060.3.2.4","YANOMAMI - VENEZUELA","60.3.2.4","680"
"685","520","060.3.1.37","KULINA - CULINA","60.3.1.37","606"
"686","521","060.3.1.38","MATIS","60.3.1.38","606"
"687","522","060.3.1.39","MATSÉ - MAYORUNA","60.3.1.39","606"
"688","523","060.3.1.40","MARUBO","60.3.1.40","606"
"689","524","060.3.1.41","KANAMARI - CANAMARI","60.3.1.41","606"
"690","525","119.45","MÉXICO","119.45","478"
"691","526","060.2.2","ÍNDIO MÉXICO","60.2.2","546"
"692","527","060.2.2.1","PORIPECHA","60.2.2.1","691"
"693","528","119.46","PAPUA NOVA GUINÉ","119.46","478"
"694","529","035.6","RAGUE","35.6","276"
"695","530","060.3.1.42","KAYAPO - KAIAPO- CAIAPO","60.3.1.42","606"
"696","531","060.3.1.43","GUAJÁ - AWÁ - AVÁ","60.3.1.43","606"
"697","532","060.3.1.44","GUAJAJARA - TENETHEHARA","60.3.1.44","606"
"698","533","060.3.1.45","PARESSI","60.3.1.45","606"
"699","534","110.3","MINEIRO","110.3","461"
"700","535","089.14","LUIZ CARLOS PRESTES","89.14","381"
"701","536","091.2","MILITAR","91.2","390"
"702","537","060.3.1.46","TAUREPANG - AREKUNA- TAULIPANG","60.3.1.46","606"
