"nid","title","field_objetivo_|value","field_objetivo_|format"
754,"Japonês Básico IV","<p class=""rtejustify""> </p>
<p class=""rtejustify""><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;""><strong>Objetivo:</strong> Revisar estruturas gramaticais apresentadas no estágio anterior e introduzir novas estruturas gramaticais, desenvolvendo a produção oral por meio de atividades comunicativas; aprimorar a escrita logográfica (kanji), a leitura e a elaboração de textos.</span></span></p>","full_html"
755,"Curso de Férias - A Escrita Logográfica Japonesa (Kanji)","<p class=""rtejustify""> </p>
<p class=""rtejustify""><span style=""font-size: 14px""><span style=""font-family: arial, helvetica, sans-serif""><strong>Objetivo:</strong> </span></span>Este curso prioriza a leitura e a escrita dos logogramas (níveis N5, N4 e N3 e N2 do Exame de Proficiência de Língua Japonesa), estimulando a aprendizagem autônoma.</p>
<p class=""rtejustify""> </p>","full_html"
757,"Inglês para Apresentações Orais - (Antigo Inglês Instrumental Oral)","<p class=""rtejustify""><span style=""font-family: arial, helvetica, sans-serif;""><span style=""font-size: 14px; ""><strong>Pré-Requisito:</strong> </span></span><span style=""font-family: arial, helvetica, sans-serif;"">Fluência em inglês. Será aplicado um teste para avaliação do conhecimento de língua inglesa dos candidatos, em duas fases.</span></p>
<p class=""rtejustify""><span style=""font-family: arial,helvetica,sans-serif;""><strong><span style=""font-size: 14px;"">Objetivo<span style=""font-weight: bold;"">:</span></span></strong><span style=""font-size: 14px;""><span style=""font-weight: bold;""> </span></span>Praticar a expressão oral em diferentes tipos de situações (palestras, inclusive as de enfoque acadêmico, discussões em grupo etc.);</span></p>
<p class=""rtejustify""> </p>
<p class=""rtejustify""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""font-size: 14px;""> </span></span></p>","full_html"
758,"Curso Preparatório para o TOEFL","<p class=""rtejustify""><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;""><strong><span style=""color: rgb(255, 0, 0);"">Público-alvo</span>:</strong> Alunos regulares e intercambistas da USP (graduação e pós-graduação), Funcionários e Docentes da USP.</span></span></p>
<p class=""rtejustify""> </p>
<p class=""rtejustify""><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;""><strong>Objetivo<span style=""font-weight: bold;"">:</span></strong><span style=""font-weight: bold;""> </span>Desenvolvimento das habilidades exigidas no exame TOEFL (Test of English as a foreign language), abrangendo a compreensão e a produção orais e escritas.</span></span></p>
<p class=""rtejustify""> </p>
<p class=""rtejustify""><span style=""font-family:arial,helvetica,sans-serif;""><span style=""font-size: 14px;""><strong>Carga Horária:</strong> 90 horas.</span></span></p>","full_html"
759,"Redação Acadêmica para Graduação- RAG","<p class=""rtecenter""><strong><span style=""color: rgb(255, 0, 0);""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""font-size: 16px;"">(APENAS PARA ESTUDANTES REGULARMENTE MATRICULADOS NOS CURSOS DE GRADUAÇÃO DA <span style=""font-size:18px;"">USP</span>)</span></span></span></strong></p>
<p class=""rtecenter""> </p>
<p class=""rtecenter""><b style=""font-family: arial,helvetica,sans-serif; font-size: 16px;"">Informações sobre o curso</b></p>
<p class=""rtecenter""> </p>
<table align=""center"" border=""1"" cellpadding=""1"" cellspacing=""1"" style=""height: 255px; width: 750px; "">
<tbody>
<tr>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255); width: 71px;"">
<div>
					<span style=""font-size: 14px;""><strong><span style=""color: rgb(0, 0, 205);""><span style=""font-family: arial,helvetica,sans-serif;"">Carga horária</span></span></strong></span></div>
</td>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255); width: 244px;"">
				<span style=""font-size: 14px;""><strong><span style=""color: rgb(0, 0, 205);""><span style=""font-family: arial,helvetica,sans-serif;"">Objetivo</span></span></strong></span></td>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255); width: 228px;"">
				<span style=""font-size: 14px;""><strong><span style=""color: rgb(0, 0, 205);""><span style=""font-family: arial,helvetica,sans-serif;"">Conteúdo</span></span></strong></span></td>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255); width: 186px;"">
<p><span style=""font-size: 14px;""><strong><span style=""color: rgb(0, 0, 205);""><span style=""font-family: arial,helvetica,sans-serif;""> Estratégias</span></span></strong></span></p>
</td>
</tr>
<tr>
<td class=""rtecenter"" style=""width: 71px;"">
				<span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;"">28 horas (2h por semana)</span></span></td>
<td class=""rtecenter"" style=""width: 244px;"">
				<span style=""font-size: 14px;""><font class=""Apple-style-span"" face=""arial, helvetica, sans-serif"">orientar os participantes na edição do próprio texto</font></span></td>
<td class=""rtecenter"" style=""width: 228px;"">
<p><span style=""font-size: 14px;""><font class=""Apple-style-span"" face=""arial, helvetica, sans-serif"">• aspectos ortográficos<br />
					• aspectos morfossintáticos<br />
					• aspectos lexicais<br />
					• aspectos metodológicos</font></span></p>
</td>
<td class=""rtecenter"" style=""width: 186px;"">
				<span style=""font-size: 14px;""><font class=""Apple-style-span"" face=""arial, helvetica, sans-serif"">• edição de texto dos<br />
				  participantes<br />
				• explicação gramatical<br />
				  com exemplificação<br />
				• leitura de texto teórico</font></span></td>
</tr>
</tbody>
</table>
<p class=""rtecenter""> </p>
<p class=""rtecenter""><u><span style=""font-size:16px;""><span style=""font-family: arial, helvetica, sans-serif; ""><span style=""color: rgb(0, 0, 205); ""><strong>Observação</strong></span></span></span></u></p>
<p class=""rtecenter""><strong><span style=""color:#ff0000;""><span style=""font-family: arial, helvetica, sans-serif; ""><span style=""font-size: 14px; "">Não haverá vagas para candidatos da comunidade externa.</span></span></span></strong></p>","full_html"
760,"Inglês para Escrita Acadêmica","<p class=""rtejustify""> </p>
<p class=""rtejustify""><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""color: rgb(255, 0, 0);""><strong>Pré-Requisito:</strong> </span></span></span></p>
<p><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;""><strong>Comunidade USP</strong>: alunos de pós-graduação USP;</span></span></p>
<p><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;""><strong>Público externo</strong>: Alunos de pós-graduação de outras instituições, <u>caso haja vagas</u>;</span></span></p>
<p> </p>
<p><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""color: rgb(255, 0, 0);""><strong>Requisito:</strong></span> </span></span></p>
<p><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;"">Nível Intermediário de inglês.</span></span></p>
<p> </p>
<p class=""rtejustify""><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;""><strong>Objetivo<span style=""font-weight: bold;"">:</span></strong><span style=""font-weight: bold;""> </span> Conscientizar os alunos sobre as principais dificuldades da língua inglesa na habilidade da escrita.</span></span></p>
<p><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;"">* Redigir textos acadêmicos.<br />
	* Ampliar conhecimentos lexicais e estruturais.<br />
	* Discutir questões referentes à tradução e versão.<br />
	* Orientar os participantes a elaborar um plano de redação e editar o próprio texto.<br />
	* Recomendar obras de referência que contribuam para o aprimoramento da escrita.</span></span></p>
<p><span style=""font-family: arial, helvetica, sans-serif; font-size: 14px;""><strong>Carga horária:</strong> 30 horas.</span></p>","full_html"
761,"Redação Acadêmica para Pós-Graduação- RAPG","<p class=""rtecenter""><strong><span style=""color: rgb(255, 0, 0);""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""font-size: 16px;"">(APENAS PARA ESTUDANTES REGULARMENTE MATRICULADOS NOS PROGRAMAS DE PÓS-GRADUAÇÃO DA <span style=""font-size:18px;"">USP</span>)</span></span></span></strong></p>
<p class=""rtecenter""> </p>
<p class=""rtecenter""> </p>
<table align=""center"" border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width: 652px; height: 196px;"">
<tbody>
<tr>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255);"">
<div>
					<span style=""font-size: 14px;""><strong><span style=""color: rgb(0, 0, 205);""><span style=""font-family: arial,helvetica,sans-serif;"">Carga horária</span></span></strong></span></div>
</td>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255); width: 159px;"">
				<span style=""font-size: 14px;""><strong><span style=""color: rgb(0, 0, 205);""><span style=""font-family: arial,helvetica,sans-serif;"">Objetivo</span></span></strong></span></td>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255); width: 173px;"">
				<span style=""font-size: 14px;""><strong><span style=""color: rgb(0, 0, 205);""><span style=""font-family: arial,helvetica,sans-serif;"">Conteúdo</span></span></strong></span></td>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255); width: 193px;"">
<p><span style=""font-size: 14px;""><strong><span style=""color: rgb(0, 0, 205);""><span style=""font-family: arial,helvetica,sans-serif;""> Estratégias</span></span></strong></span></p>
</td>
</tr>
<tr>
<td class=""rtecenter"">
				<span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;"">28 horas (2h por semana)</span></span></td>
<td class=""rtecenter"" style=""width: 159px;"">
				<span style=""font-size: 14px;""><font class=""Apple-style-span"" face=""arial, helvetica, sans-serif"">orientar os participantes na edição do próprio texto</font></span></td>
<td class=""rtecenter"" style=""width: 173px;"">
<p class=""rteleft""><span style=""font-size: 14px;""><font class=""Apple-style-span"" face=""arial, helvetica, sans-serif"">• aspectos ortográficos<br />
					• aspectos morfossintáticos<br />
					• aspectos lexicais<br />
					• aspectos metodológicos</font></span></p>
</td>
<td class=""rtejustify"" style=""width: 193px;"">
				<span style=""font-size: 14px;""><font class=""Apple-style-span"" face=""arial, helvetica, sans-serif"">• edição de texto dos<br />
				  participantes<br />
				• explicação gramatical<br />
				   com  exemplificação<br />
				• discussão da estrutura do<br />
				   texto acadêmico</font></span></td>
</tr>
</tbody>
</table>
<p> </p>
<p class=""rtecenter""><span style=""color:#ff0000;""><span style=""font-family:arial,helvetica,sans-serif;""><strong><span style=""font-size:16px;"">Observação</span></strong>:</span></span></p>
<p class=""rtecenter""><strong><span style=""color:#0000cd;""><span style=""font-family:arial,helvetica,sans-serif;"">Não haverá vagas para candidatos da comunidade externa.</span></span></strong></p>","full_html"
772,"Conversação em Português Língua Estrangeira- CPLE","<p class=""rtecenter""><b style=""font-family: arial,helvetica,sans-serif; font-size: 16px;""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""font-size: 16px;""><span style=""color: rgb(255, 0, 0);"">(<u>APENAS</u> PARA ESTUDANTES, FUNCIONÁRIOS E PROFESSORES ESTRANGEIROS DA USP) </span></span></span></b></p>
<p class=""rtecenter""> </p>
<p class=""rtecenter""><b style=""font-family: arial,helvetica,sans-serif; font-size: 16px;"">Informações sobre o curso</b></p>
<p class=""rtecenter""> </p>
<table align=""center"" border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width: 640px; height: 196px;"">
<tbody>
<tr>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255);"">
<div>
					<span style=""font-size: 14px;""><strong><span style=""color: rgb(0, 0, 205);""><span style=""font-family: arial,helvetica,sans-serif;"">Carga horária</span></span></strong></span></div>
</td>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255);"">
				<span style=""font-size: 14px;""><strong><span style=""color: rgb(0, 0, 205);""><span style=""font-family: arial,helvetica,sans-serif;"">Objetivo</span></span></strong></span></td>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255);"">
				<span style=""font-size: 14px;""><strong><span style=""color: rgb(0, 0, 205);""><span style=""font-family: arial,helvetica,sans-serif;"">Conteúdo</span></span></strong></span></td>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255);"">
<p><span style=""font-size: 14px;""><strong><span style=""color: rgb(0, 0, 205);""><span style=""font-family: arial,helvetica,sans-serif;""> Estratégias</span></span></strong></span></p>
</td>
</tr>
<tr>
<td class=""rtecenter"">
				<span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;"">30 horas (1 aula de 2h por semana)</span></span></td>
<td class=""rtecenter"">
				<span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;""><font class=""Apple-style-span"">possibilitar a produção de textos orais </font></span></span></td>
<td class=""rtecenter"">
				<span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;""><font class=""Apple-style-span"">• habilidades comunicativas<br />
				• estruturas fonético-fonológicas, lexicais e morfossintáticas</font></span></span></td>
<td class=""rtecenter"">
				<span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;""><font class=""Apple-style-span"">• aulas de conversação<br />
				• exercícios de gramática aplicada</font></span></span></td>
</tr>
</tbody>
</table>
<p> </p>","full_html"
925,"Conversação em Português Língua Estrangeira- Curso de férias","<p class=""rtecenter""><span style=""font-size:16px;""><span style=""color:#000000;""><font face=""arial, helvetica, sans-serif""><b>Público Alvo- </b></font></span><font color=""#ff0000"" face=""arial, helvetica, sans-serif""><b>(Estudantes intercambistas da USP falantes de línguas não latinas e com pouco domínio da língua portuguesa.)</b></font></span></p>
<p class=""rtecenter""> </p>
<p class=""rtecenter""><b style=""font-family: arial,helvetica,sans-serif; font-size: 16px;"">Informações sobre o curso</b></p>
<p class=""rtecenter""> </p>
<table align=""center"" border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width: 640px; height: 196px;"">
<tbody>
<tr>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255);"">
<div>
					<strong><span style=""color: rgb(0, 0, 205);""><span style=""font-family: arial,helvetica,sans-serif;"">Carga horária</span></span></strong></div>
</td>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255); width: 115px; "">
				<strong><span style=""color: rgb(0, 0, 205);""><span style=""font-family: arial,helvetica,sans-serif;"">Objetivo</span></span></strong></td>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255); width: 362px; "">
				<strong><span style=""color: rgb(0, 0, 205);""><span style=""font-family: arial,helvetica,sans-serif;"">Conteúdo</span></span></strong></td>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255);"">
<p><strong><span style=""color: rgb(0, 0, 205);""><span style=""font-family: arial,helvetica,sans-serif;""> Estratégias</span></span></strong></p>
</td>
</tr>
<tr>
<td class=""rtecenter"">
				<span style=""font-size:12px;""><span style=""font-family: arial, helvetica, sans-serif; "">24 horas (8 aulas de 3h)</span></span></td>
<td class=""rtecenter"" style=""width: 115px; "">
				<span style=""font-size:12px;""><span style=""font-family: arial, helvetica, sans-serif; ""><font class=""Apple-style-span"">Desenvolver habilidades comunicativas</font></span></span></td>
<td class=""rtecenter"" style=""width: 362px; "">
<ul>
<li>
						<font face=""arial, helvetica, sans-serif""><span style=""font-size: 12px;"">Habilidades comunicativas. Estruturas fonético-fonológicas, lexicais e morfossintáticas.</span></font></li>
<li>
						<font face=""arial, helvetica, sans-serif""><span style=""font-size: 12px;""> Elementos formadores da sociedade brasileira. Culinária brasileira com influência de imigrantes e migrantes.</span></font></li>
</ul>
</td>
<td class=""rtecenter"">
				<span style=""font-size:12px;""><span style=""font-family: arial, helvetica, sans-serif; ""><font class=""Apple-style-span"">• aulas de conversação<br />
				• exercícios de gramática aplicada</font></span></span></td>
</tr>
</tbody>
</table>
<p> </p>","full_html"
928,"Conversação em Português Língua Estrangeira - Curso de férias - para estudantes da Virginia Commonwealth University.","<p class=""rtecenter""><span style=""font-size:16px;""><span style=""color:#000000;""><font face=""arial, helvetica, sans-serif""><b>Público Alvo- </b></font></span><font color=""#ff0000"" face=""arial, helvetica, sans-serif""><b>(</b></font></span><span style=""font-size:16px;""><font color=""#ff0000"" face=""arial, helvetica, sans-serif""><b>Estudantes da Virginia Commonwealth University (VCU)).</b></font></span></p>
<p class=""rtecenter""> </p>
<p class=""rtecenter""><b style=""font-family: arial,helvetica,sans-serif; font-size: 16px;"">Informações sobre o curso</b></p>
<p class=""rtecenter""> </p>
<table align=""center"" border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width: 640px; height: 196px;"">
<tbody>
<tr>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255); width: 65px; "">
<div>
					<strong><span style=""color: rgb(0, 0, 205);""><span style=""font-family: arial,helvetica,sans-serif;"">Carga horária</span></span></strong></div>
</td>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255); width: 104px; "">
				<strong><span style=""color: rgb(0, 0, 205);""><span style=""font-family: arial,helvetica,sans-serif;"">Objetivo</span></span></strong></td>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255); width: 362px; "">
				<strong><span style=""color: rgb(0, 0, 205);""><span style=""font-family: arial,helvetica,sans-serif;"">Conteúdo</span></span></strong></td>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255);"">
<p><strong><span style=""color: rgb(0, 0, 205);""><span style=""font-family: arial,helvetica,sans-serif;""> Estratégias</span></span></strong></p>
</td>
</tr>
<tr>
<td class=""rtecenter"" style=""width: 65px; "">
				<span style=""font-size:12px;""><span style=""font-family: arial, helvetica, sans-serif; "">12 horas (4 aulas de 3h cada)</span></span></td>
<td class=""rtecenter"" style=""width: 104px; "">
				<span style=""font-size:12px;""><span style=""font-family: arial, helvetica, sans-serif; ""><font class=""Apple-style-span"">Desenvolver habilidades comunicativas</font></span></span></td>
<td class=""rtecenter"" style=""width: 362px; "">
<ul>
<li>
						<font face=""arial, helvetica, sans-serif""><span style=""font-size: 12px;"">Habilidades comunicativas. Estruturas fonético-fonológicas, lexicais e morfossintáticas.</span></font></li>
<li>
						<font face=""arial, helvetica, sans-serif""><span style=""font-size: 12px;""> Elementos formadores da sociedade brasileira. Culinária brasileira com influência de imigrantes e migrantes.</span></font></li>
</ul>
</td>
<td class=""rtecenter"">
				<span style=""font-size:12px;""><span style=""font-family: arial, helvetica, sans-serif; ""><font class=""Apple-style-span"">• aulas de conversação<br />
				• exercícios de gramática aplicada</font></span></span></td>
</tr>
</tbody>
</table>
<p> </p>
<p> </p>","full_html"
930,"Inglês Intermediário II","<p class=""rtejustify""> </p>
<p class=""rtejustify""><span style=""font-family:arial,helvetica,sans-serif;""><span style=""font-size: 14px;""><strong>Objetivo:</strong> Desenvolver habilidades escritas e orais em língua inglesa.</span></span></p>
<p class=""rtejustify""><span style=""font-family:arial,helvetica,sans-serif;""><span style=""font-size: 14px;""><strong>Carga horária:</strong> 48 horas.</span></span></p>","full_html"
932,"Produção escrita em Língua Japonesa","<p class=""rtejustify""> </p>
<p class=""rtejustify""><span style=""font-size:14px;""><span style=""font-family: arial, helvetica, sans-serif; ""><strong>Objetivo:</strong> Revisar estruturas gramaticais apresentadas no estágio anterior e introduzir novas estruturas gramaticais, desenvolvendo a produção oral por meio de atividades comunicativas; aprimorar a escrita logográfica (kanji), a leitura e a elaboração de textos.</span></span></p>","full_html"
