especificação,nreferencia,numero,região,local,titulo,data,rolonum,Bobina,suporte,País,Sistema,Ano de Entrada,Origem,Nota,Acervo disponível,Acervo indisponível
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Dívidas, Banco Nacional, Caixa Econômica.",61,61,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1779-1822,1,61,Microfilmes,Brasil,Neg/Pos,1969,,,X,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Coleta Literária, Correio, Despesas miúdas.",62,62,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1773-1822,1,62,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Despesas Miúdas.,63,63,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1782-1820,1,63,Microfilmes,Brasil,Neg/Pos,1969,,,,X
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Despesas Miúdas, Defuntos e Ausentes, Quinto do Ouro.",64,64,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1776-1822,1,64,Microfilmes,Brasil,Neg/Pos,1969,,,X,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Quinto do Ouro, Rendimentos Reais.",65,65,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1767-1822,1,65,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Rendimentos Reais.,66,66,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1773-1811,1,66,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Livro de Registro: Correspondência.,106,106,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Livros de Registro.,1806-1822,1,106,Microfilmes,Brasil,Neg/Pos,1969,,,X,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Livro de Registro: Correspondência, Fiança.",107,107,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Livros de Registro.,1772-1822,1,107,Microfilmes,Brasil,Neg/Pos,1969,,,X,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Livro de Registro: Fiança, Índices Alfabéticos, Ordens de Pagamento, Ordens Régias.",108,108,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Livros de Registro.,1762-1822,1,108,Microfilmes,Brasil,Neg/Pos,1969,,,X,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Livro de Registro: Ordens Régias, Posse, Provisões do Governo.",109,109,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Livros de Registro.,1772-1822,1,109,Microfilmes,Brasil,Neg/Pos,1969,,,X,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Livro de Registro: Provisões do Governo, Quitações, Registro Geral.",110,110,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Livros de Registro.,1745-1822,1,110,Microfilmes,Brasil,Neg/Pos,1969,,,X,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Livro de Registro: Registro Geral, Servidores, Assentamentos.",111,111,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Livros de Registro.,1749-1822,1,111,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Presídios e Colônias.,142,142,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra.,1860-1890,1,16,Microfilmes,Brasil,Neg,1971,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Presídios e Colônias.,143,143,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra.,1850-1890,1,17,Microfilmes,Brasil,Neg,1971,,,X,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria: Ofícios e Ocupações, Vários Assuntos.",94,94,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria.,1766-1822,1,94,Microfilmes,Brasil,Neg/Pos,1969,,,X,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria: Vários Assuntos, Pessoas.",95,95,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria.,1754-1822,1,95,Microfilmes,Brasil,Neg/Pos,1969,,,X,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria: Pessoas - Devedores, Pessoas - Ofícios e Ocupações.",96,96,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria.,1762-1822,1,96,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria: Pessoas - Ofícios e Ocupações.,97,97,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria.,1757-1822,1,97,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria: Pessoas - Ofícios e Ocupações.,99,99,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria.,1761-1822,1,99,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria: Pessoas - Ofícios e Ocupações.,100,100,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria.,1765-1822,1,100,Microfilmes,Brasil,Neg/Pos,,,,,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Décimas.,8,8,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1810-1822,1,8,Microfilmes,Brasil,Neg/Pos,novembro de 1968,,,,X
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Décimas.,9,9,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1810-1922,1,9,Microfilmes,Brasil,Neg/Pos,,,,,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Décimas, Dízimos.",10,10,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1795-1822,1,10,Microfilmes,Brasil,Neg/Pos,1969,,,,X
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Enfermaria Militar.,76,202,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Enfermaria Militar.,1887-1889,1,76,Microfilmes,Brasil,Neg,1971,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Dízimos.,23,23,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1809-1819,1,23,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Dízimos.,24,24,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1819-1821,1,24,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Dízimos.,25,25,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1784-1821,1,25,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Dízimos.,26,26,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1789-1822,1,26,Microfilmes,Brasil,Neg/Pos,1969,,,X,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Dízimos, Entradas.",27,27,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1774-1822,1,27,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Cobranças.,49,49,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1801-1822,1,49,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Cobranças.,50,50,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1795-1822,1,50,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Cobranças.,51,51,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1803-1822,1,51,Microfilmes,Brasil,Neg/Pos,1969,,,X,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Cobranças, Devedores do Dízimo, Devedores Diversos, Rendimentos Gerais.",52,52,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1795-1822,1,52,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Rendimentos Gerais Fazenda Real.,53,53,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1773-1822,1,53,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Fazenda Real.,54,54,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1775-1810,1,54,Microfilmes,Brasil,Neg/Pos,1969,,,X,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Fazenda Real, Folha Eclesiástica, Folha Civil.",55,55,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1779-1822,1,55,Microfilmes,Brasil,Neg/Pos,1969,,,X,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Folha Civil, Administradores da Coleta, Devedores da Fazenda, Devedores de Ofícios.",56,56,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1771-1822,1,56,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Enfermaria Militar.,190,190,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra.,1877-1879,1,64,Microfilmes,Brasil,Neg,1971,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Enfermaria Militar.,191,191,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra.,1879-1881,1,65,Microfilmes,Brasil,Neg,1971,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Enfermaria Militar.,192,192,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra.,1881-1883,1,66,Microfilmes,Brasil,Neg,1971,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Enfermaria Militar.,193,193,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra.,1883-1884,1,67,Microfilmes,Brasil,Neg,1971,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Enfermaria Militar.,194,194,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra.,1885-1886,1,68,Microfilmes,Brasil,Neg,1971,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Enfermaria Militar.,195,195,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra.,1886-1887,1,69,Microfilmes,Brasil,Neg,1971,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Enfermaria Militar.,196,196,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra.,1887-1888,1,70,Microfilmes,Brasil,Neg,1971,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Enfermaria Militar.,197,197,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra.,1888-1889,1,71,Microfilmes,Brasil,Neg,1971,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Enfermaria Militar.,198,198,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra.,1889,1,72,Microfilmes,Brasil,Neg,1971,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Enfermaria Militar.,199,199,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra.,1889/1881-1882/1823-1827-1851-1889,1,73,Microfilmes,Brasil,Neg,1971,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Enfermaria Militar.,200,200,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra.,1881-1884,1,74,Microfilmes,Brasil,Neg,1971,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Enfermaria Militar.,201,201,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra.,1884-1887,1,75,Microfilmes,Brasil,Neg,1971,,,X,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria: Pessoas - Ofícios e Ocupações, Ordens Régias.",102,102,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria.,1767-1822,1,102,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria: Ordens Régias.,103,103,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria.,1778-1815,1,103,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria: Ordens Régias.,104,104,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria.,1769-1822,1,104,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Livro de Registro: Correspondência.,105,105,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Livros de Registro.,1770-1815,1,105,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Presídios e Colônias.,132,132,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra.,1864-1889,1,6,Microfilmes,Brasil,Neg,1971,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Presídios e Colônias.,133,133,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra.,1864-1889,1,7,Microfilmes,Brasil,Neg,1971,,,,X
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Enfermaria Militar.,204,204,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra.,1852-1885,1,78,Microfilmes,Brasil,Neg,1971,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria: Pessoas - Ofícios e Ocupações,98,98,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria: Pessoas - Ofícios e Ocupações,1748-1822,1,98,Microfilmes,Brasil,Neg/Pos,,,,,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Companhias Militares: Companhia de Dragões, Praça de Militares, Praça de Animais.",118,118,Centro-Oeste,Goiás,"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Companhias Militares: Companhia de Dragões, Praça de Militares, Praça de Animais.",1746-1822,1,118,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Vedoria. Hospital Militar.,115,115,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Vedoria.,1792-1822,1,115,Microfilmes,Brasil,Neg/Pos,1969,,,X,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Companhias Militares: Portarias de Praças, Pagamentos.",116,116,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Companhias Militares.,1771-1816,1,116,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Companhias Militares:  Pagamentos.,117,117,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Companhias Militares.,1770-1820,1,117,Microfilmes,Brasil,Neg/Pos,1969,,,X,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Companhias Militares: Cia. de Dragões, Praça de Militares, Praça de Animais.",118,118,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Companhias Militares.,1746-1822,1,118,Microfilmes,Brasil,Neg/Pos,,,,,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Companhias Militares:  Praça de Militares.,119,119,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Companhias Militares.,1851-1822,1,119,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Companhias Militares:  Praça de Militares.,120,120,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Companhias Militares.,1801-1822,1,120,Microfilmes,Brasil,Neg/Pos,1969,,,X,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos -  Sisa dos Bens de Raiz, Coleta Literária.",1,1,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1748-1822,1,1,Microfilmes,Brasil,Neg/Pos,,,,,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos - Coleta Literária.,2,2,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1782-1822,1,2,Microfilmes,Brasil,Neg/Pos,,,,,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos -  Coleta Literária.,3,3,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1775-1822,1,3,Microfilmes,Brasil,Neg/Pos,,,,,
